# BacteriaId,Frame,Time,X,Y,oldX,oldY,dX,dY,autoX,autoY
3.000,0.000,0.000,0.000,0.000,363.000,229.000,0.000,0.000,1.000,1.000
3.000,1.000,0.033,2.000,-4.000,365.000,225.000,2.000,-4.000,-0.363,-0.319
3.000,2.000,0.067,1.800,-1.600,365.000,227.000,-0.200,2.400,-0.094,-0.153
3.000,3.000,0.100,-2.380,0.560,361.000,229.000,-4.180,2.160,0.125,0.068
3.000,4.000,0.133,-4.142,1.504,359.000,230.000,-1.762,0.944,-0.074,-0.090
3.000,5.000,0.167,-4.728,3.354,358.000,232.000,-0.586,1.850,-0.010,-0.010
3.000,6.000,0.200,-6.255,3.018,356.000,232.000,-1.527,-0.335,0.021,0.084
3.000,7.000,0.234,-7.630,3.716,354.000,233.000,-1.374,0.698,0.030,-0.013
3.000,8.000,0.267,-3.867,2.345,357.000,232.000,3.763,-1.372,-0.050,-0.022
3.000,9.000,0.300,-7.480,2.110,353.000,232.000,-3.613,-0.234,-0.012,-0.073
3.000,10.000,0.334,-8.732,0.899,351.000,231.000,-1.252,-1.211,0.026,0.026
3.000,11.000,0.367,-5.859,1.809,353.000,232.000,2.873,0.910,-0.035,0.047
3.000,12.000,0.400,-6.273,-0.372,352.000,230.000,-0.414,-2.181,-0.022,-0.023
3.000,13.000,0.434,-6.646,3.666,351.000,234.000,-0.373,4.037,-0.033,0.123
3.000,14.000,0.467,-2.981,4.299,354.000,235.000,3.665,0.633,0.061,-0.150
3.000,15.000,0.500,-0.683,-3.131,356.000,228.000,2.298,-7.430,-0.001,-0.092
3.000,16.000,0.534,-1.615,0.182,355.000,231.000,-0.932,3.313,-0.059,0.175
3.000,17.000,0.567,-4.453,-0.836,352.000,230.000,-2.839,-1.018,0.085,-0.047
3.000,18.000,0.601,-2.008,0.248,354.000,231.000,2.445,1.084,-0.111,-0.019
3.000,19.000,0.634,0.193,-3.777,356.000,227.000,2.201,-4.025,0.078,0.058
3.000,20.000,0.667,-6.826,2.601,349.000,233.000,-7.019,6.378,-0.092,-0.101
3.000,21.000,0.701,0.856,-1.660,356.000,229.000,7.683,-4.260,0.047,0.023
3.000,22.000,0.734,-4.229,2.506,351.000,233.000,-5.086,4.166,0.049,0.016
3.000,23.000,0.767,-3.806,0.256,351.000,231.000,0.423,-2.251,-0.074,-0.010
3.000,24.000,0.801,-2.426,0.230,352.000,231.000,1.381,-0.026,0.072,-0.004
3.000,25.000,0.834,-4.183,1.207,350.000,232.000,-1.757,0.977,-0.020,-0.005
3.000,26.000,0.868,-2.765,-0.914,351.000,230.000,1.418,-2.121,-0.048,0.002
3.000,27.000,0.901,4.512,1.178,358.000,232.000,7.276,2.091,0.065,-0.034
3.000,28.000,0.934,3.060,-4.940,357.000,226.000,-1.451,-6.118,-0.001,0.076
3.000,29.000,0.968,-2.246,3.554,352.000,234.000,-5.306,8.494,-0.115,0.024
3.000,30.000,1.001,-2.021,-2.801,352.000,228.000,0.225,-6.355,0.028,-0.049
3.000,31.000,1.034,-3.819,-13.521,350.000,217.000,-1.798,-10.720,0.051,-0.034
