# BacteriaId,Frame,Time,X,Y,oldX,oldY,dX,dY,autoX,autoY
15.000,1500.000,50.050,-0.951,-4.205,1217.000,243.000,-4.339,4.912,1.000,1.000
15.000,1501.000,50.083,3.144,-3.785,1221.000,243.000,4.095,0.421,-0.448,-0.388
15.000,1502.000,50.117,-3.171,-8.406,1215.000,238.000,-6.314,-4.622,-0.040,-0.174
15.000,1503.000,50.150,1.146,-4.566,1219.000,241.000,4.317,3.841,0.010,0.083
15.000,1504.000,50.183,0.032,-5.109,1218.000,240.000,-1.115,-0.543,-0.014,0.061
15.000,1505.000,50.217,-0.971,-5.598,1217.000,239.000,-1.003,-0.489,0.011,-0.035
15.000,1506.000,50.250,0.126,-3.038,1218.000,241.000,1.097,2.560,-0.047,-0.097
15.000,1507.000,50.284,3.113,-0.734,1221.000,243.000,2.987,2.304,-0.057,0.141
15.000,1508.000,50.317,-3.198,-1.661,1215.000,242.000,-6.311,-0.927,0.270,-0.064
15.000,1509.000,50.350,-26.878,1.505,1191.000,245.000,-23.680,3.166,-0.206,-0.054
15.000,1510.000,50.384,-5.190,-5.645,1210.000,238.000,21.688,-7.151,0.030,0.122
15.000,1511.000,50.417,-7.671,-3.081,1207.000,240.000,-2.481,2.565,-0.037,-0.099
15.000,1512.000,50.450,1.096,-6.773,1215.000,236.000,8.767,-3.692,0.042,-0.001
15.000,1513.000,50.484,2.986,-4.096,1217.000,238.000,1.890,2.677,0.007,0.068
15.000,1514.000,50.517,-5.312,-4.686,1209.000,237.000,-8.299,-0.590,-0.070,-0.052
15.000,1515.000,50.550,-1.781,0.783,1212.000,242.000,3.531,5.469,0.115,-0.035
15.000,1516.000,50.584,-0.603,-2.296,1213.000,239.000,1.178,-3.078,-0.050,0.041
15.000,1517.000,50.617,-16.543,-10.066,1197.000,231.000,-15.940,-7.770,-0.015,0.083
15.000,1518.000,50.651,6.111,2.941,1218.000,243.000,22.654,13.007,0.016,-0.116
15.000,1519.000,50.684,1.500,-2.354,1214.000,238.000,-4.611,-5.294,-0.058,0.013
15.000,1520.000,50.717,-4.650,-10.118,1208.000,230.000,-6.150,-7.765,0.107,0.104
15.000,1521.000,50.751,-5.185,-11.106,1207.000,228.000,-0.535,-0.988,-0.064,-0.142
15.000,1522.000,50.784,-8.666,-0.996,1203.000,237.000,-3.482,10.111,-0.026,0.028
15.000,1523.000,50.817,-3.800,2.104,1207.000,240.000,4.867,3.100,0.027,0.044
15.000,1524.000,50.851,-6.420,-5.107,1204.000,233.000,-2.620,-7.210,-0.059,-0.064
15.000,1525.000,50.884,-8.778,0.404,1201.000,238.000,-2.358,5.511,0.056,0.011
