# BacteriaId,Frame,Time,X,Y,oldX,oldY,dX,dY,autoX,autoY
7.000,3000.000,100.100,-3.061,0.843,46.000,674.000,0.340,-3.427,1.000,1.000
7.000,3001.000,100.133,0.245,-0.241,49.000,673.000,3.306,-1.084,-0.394,-0.470
7.000,3002.000,100.167,-2.779,-1.217,46.000,672.000,-3.025,-0.976,-0.067,0.032
7.000,3003.000,100.200,-1.501,-0.095,47.000,673.000,1.278,1.122,0.041,0.019
7.000,3004.000,100.233,1.649,-2.086,50.000,671.000,3.150,-1.990,-0.057,-0.012
7.000,3005.000,100.267,-0.516,-1.877,48.000,671.000,-2.165,0.209,0.016,-0.046
7.000,3006.000,100.300,-1.464,-4.690,47.000,668.000,-0.948,-2.812,-0.037,0.101
7.000,3007.000,100.334,2.682,-3.221,51.000,669.000,4.146,1.469,0.022,-0.029
7.000,3008.000,100.367,-2.586,0.101,46.000,672.000,-5.268,3.322,-0.010,-0.010
7.000,3009.000,100.400,-0.328,-8.909,48.000,663.000,2.259,-9.010,-0.013,-0.071
7.000,3010.000,100.434,-2.295,-1.018,46.000,670.000,-1.967,7.891,0.008,0.042
7.000,3011.000,100.467,-2.065,-0.916,46.000,670.000,0.229,0.102,-0.006,-0.003
7.000,3012.000,100.500,-0.859,-5.824,47.000,665.000,1.207,-4.908,0.032,-0.079
7.000,3013.000,100.534,-1.773,0.758,46.000,671.000,-0.914,6.582,0.002,0.123
7.000,3014.000,100.567,-1.596,-1.318,46.000,669.000,0.177,-2.076,-0.044,-0.106
7.000,3015.000,100.600,-1.436,-1.186,46.000,669.000,0.160,0.132,0.003,0.067
7.000,3016.000,100.634,-0.292,-1.067,47.000,669.000,1.144,0.119,-0.031,-0.063
7.000,3017.000,100.667,-1.263,1.039,46.000,671.000,-0.971,2.107,0.018,-0.028
7.000,3018.000,100.701,-1.137,0.935,46.000,671.000,0.126,-0.104,0.033,0.021
7.000,3019.000,100.734,-1.023,1.842,46.000,672.000,0.114,0.906,0.011,0.016
7.000,3020.000,100.767,-0.921,3.658,46.000,674.000,0.102,1.816,-0.062,0.048
7.000,3021.000,100.801,-0.829,3.292,46.000,674.000,0.092,-0.366,0.049,-0.045
7.000,3022.000,100.834,-0.746,0.963,46.000,672.000,0.083,-2.329,-0.003,-0.065
7.000,3023.000,100.867,-0.671,1.866,46.000,673.000,0.075,0.904,-0.029,0.046
7.000,3024.000,100.901,-0.604,-1.320,46.000,670.000,0.067,-3.187,0.020,-0.062
7.000,3025.000,100.934,0.456,-0.188,47.000,671.000,1.060,1.132,0.015,0.036
7.000,3026.000,100.968,-0.589,-2.169,46.000,669.000,-1.046,-1.981,0.033,0.115
7.000,3027.000,101.001,-0.530,-1.952,46.000,669.000,0.059,0.217,-0.070,-0.067
7.000,3028.000,101.034,-0.477,-0.757,46.000,670.000,0.053,1.195,0.029,-0.059
7.000,3029.000,101.068,-0.430,-3.681,46.000,667.000,0.048,-2.924,-0.003,0.100
7.000,3030.000,101.101,-0.387,-4.313,46.000,666.000,0.043,-0.632,-0.058,-0.050
7.000,3031.000,101.134,-0.348,0.118,46.000,670.000,0.039,4.431,0.159,0.057
7.000,3032.000,101.168,3.687,2.106,50.000,672.000,4.035,1.988,-0.140,-0.047
7.000,3033.000,101.201,1.318,2.896,48.000,673.000,-2.369,0.789,0.039,0.049
7.000,3034.000,101.234,1.186,-0.394,48.000,670.000,-0.132,-3.290,-0.000,0.001
7.000,3035.000,101.268,1.068,-1.355,48.000,669.000,-0.119,-0.961,-0.024,-0.017
7.000,3036.000,101.301,-1.039,2.781,46.000,673.000,-2.107,4.135,0.062,0.026
7.000,3037.000,101.335,2.065,2.503,49.000,673.000,3.104,-0.278,-0.058,-0.155
7.000,3038.000,101.368,1.858,4.253,49.000,675.000,-0.206,1.750,0.018,0.115
7.000,3039.000,101.401,0.672,5.827,48.000,677.000,-1.186,1.575,-0.029,0.011
7.000,3040.000,101.435,1.605,5.245,49.000,677.000,0.933,-0.583,-0.003,-0.011
7.000,3041.000,101.468,-1.555,4.720,46.000,677.000,-3.161,-0.524,0.018,-0.062
7.000,3042.000,101.501,-1.400,6.248,46.000,679.000,0.156,1.528,0.052,0.047
7.000,3043.000,101.535,-1.260,7.623,46.000,681.000,0.140,1.375,-0.047,-0.075
7.000,3044.000,101.568,1.866,6.861,49.000,681.000,3.126,-0.762,0.037,0.071
7.000,3045.000,101.601,-0.320,4.175,47.000,679.000,-2.187,-2.686,-0.055,-0.028
7.000,3046.000,101.635,-1.288,7.757,46.000,683.000,-0.968,3.583,0.068,0.108
7.000,3047.000,101.668,-1.160,8.982,46.000,685.000,0.129,1.224,-0.092,-0.165
7.000,3048.000,101.702,-1.044,6.083,46.000,683.000,0.116,-2.898,0.038,0.087
7.000,3049.000,101.735,0.061,2.475,47.000,680.000,1.104,-3.608,0.070,0.061
7.000,3050.000,101.768,-0.945,3.228,46.000,681.000,-1.006,0.752,-0.033,-0.121
7.000,3051.000,101.802,-0.851,3.905,46.000,682.000,0.095,0.677,-0.012,0.006
7.000,3052.000,101.835,-0.766,4.514,46.000,683.000,0.085,0.610,0.035,0.085
7.000,3053.000,101.868,-0.689,2.063,46.000,681.000,0.077,-2.451,-0.017,-0.093
7.000,3054.000,101.902,-0.620,-2.143,46.000,677.000,0.069,-4.206,-0.032,0.031
7.000,3055.000,101.935,-0.558,-1.929,46.000,677.000,0.062,0.214,-0.032,-0.008
7.000,3056.000,101.969,-0.502,0.264,46.000,679.000,0.056,2.193,0.062,-0.035
7.000,3057.000,102.002,-0.452,0.237,46.000,679.000,0.050,-0.026,-0.029,0.044
7.000,3058.000,102.035,-0.407,0.214,46.000,679.000,0.045,-0.024,-0.017,-0.034
7.000,3059.000,102.069,-0.366,-0.808,46.000,678.000,0.041,-1.021,0.001,0.138
7.000,3060.000,102.102,-0.330,-5.727,46.000,673.000,0.037,-4.919,0.019,-0.052
7.000,3061.000,102.135,-0.297,-1.154,46.000,677.000,0.033,4.573,0.069,-0.033
7.000,3062.000,102.169,-0.267,0.961,46.000,679.000,0.030,2.115,-0.108,-0.035
7.000,3063.000,102.202,0.760,-0.135,47.000,678.000,1.027,-1.096,0.006,0.028
7.000,3064.000,102.235,-0.316,-0.121,46.000,678.000,-1.076,0.013,0.040,0.032
7.000,3065.000,102.269,-0.285,0.891,46.000,679.000,0.032,1.012,-0.022,0.072
7.000,3066.000,102.302,1.744,-2.198,48.000,676.000,2.028,-3.089,-0.006,-0.124
7.000,3067.000,102.336,1.569,1.021,48.000,679.000,-0.174,3.220,0.035,0.100
7.000,3068.000,102.369,-0.587,-0.081,46.000,678.000,-2.157,-1.102,-0.030,-0.107
7.000,3069.000,102.402,-0.529,0.927,46.000,679.000,0.059,1.008,0.112,0.117
7.000,3070.000,102.436,0.524,1.835,47.000,680.000,1.053,0.907,-0.075,-0.079
7.000,3071.000,102.469,0.472,-0.349,47.000,678.000,-0.052,-2.183,-0.106,-0.001
7.000,3072.000,102.502,-0.575,3.686,46.000,682.000,-1.047,4.035,0.123,0.066
7.000,3073.000,102.536,3.482,-4.683,50.000,674.000,4.058,-8.369,-0.071,-0.079
7.000,3074.000,102.569,-0.866,-1.214,46.000,677.000,-4.348,3.468,0.035,-0.018
7.000,3075.000,102.602,-0.780,-0.093,46.000,678.000,0.087,1.121,-0.037,0.119
7.000,3076.000,102.636,-0.702,-3.084,46.000,675.000,0.078,-2.991,-0.039,-0.137
7.000,3077.000,102.669,-0.631,0.225,46.000,678.000,0.070,3.308,0.095,0.009
7.000,3078.000,102.703,0.432,4.202,47.000,682.000,1.063,3.978,-0.023,0.087
7.000,3079.000,102.736,2.389,1.782,49.000,680.000,1.957,-2.420,0.038,-0.050
7.000,3080.000,102.769,2.150,0.604,49.000,679.000,-0.239,-1.178,0.028,-0.047
7.000,3081.000,102.803,2.935,-5.457,50.000,673.000,0.785,-6.060,-0.030,0.027
7.000,3082.000,102.836,1.641,7.089,49.000,685.000,-1.293,12.546,0.015,0.005
7.000,3083.000,102.869,4.477,1.380,52.000,680.000,2.836,-5.709,-0.059,-0.092
7.000,3084.000,102.903,7.029,-3.758,55.000,675.000,2.552,-5.138,0.016,0.137
7.000,3085.000,102.936,1.326,3.618,50.000,682.000,-5.703,7.376,-0.031,-0.070
7.000,3086.000,102.970,1.194,-3.744,50.000,675.000,-0.133,-7.362,0.020,0.017
7.000,3087.000,103.003,-1.926,0.631,47.000,679.000,-3.119,4.374,0.054,-0.003
7.000,3088.000,103.036,1.267,3.568,50.000,682.000,3.193,2.937,-0.105,0.011
7.000,3089.000,103.070,-0.860,1.211,48.000,680.000,-2.127,-2.357,0.026,-0.009
7.000,3090.000,103.103,-1.774,1.090,47.000,680.000,-0.914,-0.121,0.049,0.049
7.000,3091.000,103.136,-2.596,-0.019,46.000,679.000,-0.823,-1.109,-0.013,-0.022
7.000,3092.000,103.170,-2.337,1.983,46.000,681.000,0.260,2.002,0.019,-0.027
7.000,3093.000,103.203,3.897,-13.216,52.000,666.000,6.234,-15.198,-0.046,0.105
7.000,3094.000,103.236,-2.493,-2.894,46.000,675.000,-6.390,10.322,0.007,-0.090
7.000,3095.000,103.270,-2.243,2.395,46.000,680.000,0.249,5.289,0.021,0.056
7.000,3096.000,103.303,-2.019,3.156,46.000,681.000,0.224,0.760,-0.018,-0.068
7.000,3097.000,103.337,-1.817,0.840,46.000,679.000,0.202,-2.316,0.014,0.048
7.000,3098.000,103.370,-1.635,1.756,46.000,680.000,0.182,0.916,-0.004,-0.004
7.000,3099.000,103.403,-1.472,-2.419,46.000,676.000,0.164,-4.176,0.019,0.022
