# BacteriaId,Frame,Time,X,Y,oldX,oldY,dX,dY,autoX,autoY
5.000,600.000,20.020,-2.583,5.091,1761.000,597.000,-10.824,-7.232,1.000,1.000
5.000,601.000,20.053,4.675,6.582,1768.000,599.000,7.258,1.491,-0.377,-0.189
5.000,602.000,20.087,0.208,1.924,1764.000,595.000,-4.468,-4.658,0.036,-0.044
5.000,603.000,20.120,-0.813,7.731,1763.000,601.000,-1.021,5.808,-0.060,-0.109
5.000,604.000,20.153,15.268,12.958,1779.000,607.000,16.081,5.227,0.054,0.044
5.000,605.000,20.187,25.741,17.662,1791.000,613.000,10.473,4.704,-0.035,0.020
5.000,606.000,20.220,10.167,11.896,1778.000,609.000,-15.574,-5.766,-0.020,0.035
5.000,607.000,20.254,25.150,8.706,1794.000,607.000,14.983,-3.190,0.046,-0.098
5.000,608.000,20.287,11.635,7.836,1783.000,607.000,-13.515,-0.871,-0.116,-0.035
5.000,609.000,20.320,6.472,-0.948,1779.000,599.000,-5.164,-8.784,0.035,0.017
5.000,610.000,20.354,8.825,-3.853,1782.000,596.000,2.353,-2.905,-0.013,0.007
5.000,611.000,20.387,10.942,3.532,1785.000,603.000,2.118,7.385,0.081,-0.054
5.000,612.000,20.420,6.848,3.179,1782.000,603.000,-4.094,-0.353,-0.132,-0.044
5.000,613.000,20.454,15.163,8.861,1791.000,609.000,8.315,5.682,-0.042,-0.003
5.000,614.000,20.487,11.647,-1.025,1789.000,600.000,-3.516,-9.886,0.080,-0.046
5.000,615.000,20.520,1.482,-3.922,1780.000,597.000,-10.165,-2.898,0.055,0.134
5.000,616.000,20.554,7.334,0.470,1786.000,601.000,5.852,4.392,-0.033,-0.113
5.000,617.000,20.587,6.601,7.423,1786.000,608.000,-0.733,6.953,0.001,-0.002
5.000,618.000,20.621,2.941,3.681,1783.000,605.000,-3.660,-3.742,-0.068,-0.033
5.000,619.000,20.654,3.646,5.312,1784.000,607.000,0.706,1.632,0.049,0.073
5.000,620.000,20.687,13.282,15.781,1794.000,618.000,9.635,10.469,0.043,-0.034
5.000,621.000,20.721,8.954,6.203,1791.000,610.000,-4.328,-9.578,-0.042,-0.053
5.000,622.000,20.754,14.058,7.583,1797.000,612.000,5.105,1.380,0.002,-0.035
5.000,623.000,20.787,17.652,1.825,1802.000,607.000,3.594,-5.758,-0.068,0.062
5.000,624.000,20.821,24.887,3.642,1811.000,609.000,7.235,1.818,0.048,0.055
5.000,625.000,20.854,9.398,-6.722,1798.000,599.000,-15.489,-10.364,-0.032,-0.026
5.000,626.000,20.888,2.459,-8.050,1792.000,597.000,-6.940,-1.328,0.119,0.027
5.000,627.000,20.921,9.213,-8.245,1799.000,596.000,6.754,-0.195,-0.151,-0.091
5.000,628.000,20.954,5.291,-1.420,1796.000,602.000,-3.921,6.824,0.058,0.053
5.000,629.000,20.988,-17.238,-2.278,1774.000,601.000,-22.529,-0.858,0.022,0.044
5.000,630.000,21.021,6.486,5.949,1796.000,609.000,23.724,8.228,-0.017,0.001
5.000,631.000,21.054,8.838,-6.646,1799.000,597.000,2.351,-12.595,0.073,-0.076
5.000,632.000,21.088,6.954,-2.981,1798.000,600.000,-1.884,3.665,-0.125,-0.046
5.000,633.000,21.121,1.258,-9.683,1793.000,593.000,-5.695,-6.702,-0.002,0.119
5.000,634.000,21.154,8.133,-5.715,1800.000,596.000,6.874,3.968,0.039,-0.050
5.000,635.000,21.188,1.319,-3.143,1794.000,598.000,-6.813,2.571,0.012,-0.002
5.000,636.000,21.221,5.187,-0.829,1798.000,600.000,3.868,2.314,-0.018,0.023
5.000,637.000,21.255,-1.331,-2.746,1792.000,598.000,-6.519,-1.917,-0.024,0.028
5.000,638.000,21.288,0.802,-2.471,1794.000,598.000,2.133,0.275,-0.038,0.016
5.000,639.000,21.321,0.722,-0.224,1794.000,600.000,-0.080,2.247,0.044,-0.036
5.000,640.000,21.355,0.649,0.798,1794.000,601.000,-0.072,1.022,0.020,-0.080
5.000,641.000,21.388,5.584,5.718,1799.000,606.000,4.935,4.920,-0.014,0.037
5.000,642.000,21.421,2.026,4.147,1796.000,605.000,-3.558,-1.572,0.077,-0.073
5.000,643.000,21.455,-0.177,5.732,1794.000,607.000,-2.203,1.585,-0.082,0.075
5.000,644.000,21.488,-5.159,-1.841,1789.000,600.000,-4.982,-7.573,0.038,-0.023
5.000,645.000,21.521,4.357,-1.657,1798.000,600.000,9.516,0.184,0.006,0.050
5.000,646.000,21.555,-2.079,-3.491,1792.000,598.000,-6.436,-1.834,-0.002,-0.089
5.000,647.000,21.588,0.129,-0.142,1794.000,601.000,2.208,3.349,-0.125,0.027
5.000,648.000,21.622,0.116,-4.128,1794.000,597.000,-0.013,-3.986,0.072,0.097
5.000,649.000,21.655,-1.895,-6.715,1792.000,594.000,-2.012,-2.587,0.022,-0.024
5.000,650.000,21.688,-8.706,-10.044,1785.000,590.000,-6.810,-3.328,-0.026,-0.088
5.000,651.000,21.722,-15.835,-11.039,1777.000,588.000,-7.129,-0.996,-0.011,0.026
5.000,652.000,21.755,2.748,-4.935,1794.000,593.000,18.584,6.104,0.024,0.042
5.000,653.000,21.788,-8.527,-9.442,1783.000,588.000,-11.275,-4.506,-0.057,-0.012
5.000,654.000,21.822,-8.674,-15.498,1782.000,581.000,-0.147,-6.056,0.030,0.062
5.000,655.000,21.855,-21.807,-16.948,1768.000,578.000,-13.133,-1.450,-0.024,-0.007
5.000,656.000,21.889,-1.626,-9.253,1786.000,584.000,20.181,7.695,0.099,0.025
5.000,657.000,21.922,-12.463,-15.328,1775.000,577.000,-10.837,-6.075,-0.037,-0.049
5.000,658.000,21.955,-7.217,-12.795,1779.000,578.000,5.246,2.533,-0.034,-0.042
5.000,659.000,21.989,-3.495,-12.516,1782.000,577.000,3.722,0.280,0.096,-0.007
5.000,660.000,22.022,-7.146,-10.264,1778.000,578.000,-3.650,2.252,0.021,0.029
5.000,661.000,22.055,-2.431,-4.238,1782.000,583.000,4.715,6.026,-0.026,0.002
5.000,662.000,22.089,9.812,-6.814,1794.000,580.000,12.243,-2.576,0.018,0.052
5.000,663.000,22.122,-8.169,-5.132,1777.000,581.000,-17.981,1.681,-0.011,-0.070
5.000,664.000,22.155,-3.352,3.381,1781.000,589.000,4.817,8.513,0.003,-0.044
5.000,665.000,22.189,11.983,18.043,1796.000,604.000,15.335,14.662,-0.023,-0.037
5.000,666.000,22.222,2.785,16.238,1788.000,604.000,-9.198,-1.804,0.024,0.006
5.000,667.000,22.256,15.506,19.615,1801.000,609.000,12.722,3.376,-0.032,0.053
5.000,668.000,22.289,5.956,10.653,1793.000,602.000,-9.551,-8.961,0.007,-0.074
5.000,669.000,22.322,8.360,10.588,1796.000,603.000,2.404,-0.065,-0.040,0.032
5.000,670.000,22.356,13.524,7.529,1802.000,601.000,5.164,-3.059,0.072,-0.028
5.000,671.000,22.389,6.172,9.776,1796.000,604.000,-7.352,2.247,-0.011,0.043
