# BacteriaId,Frame,Time,X,Y,oldX,oldY,dX,dY,autoX,autoY
13.000,900.000,30.030,-4.300,6.053,1387.000,629.000,1.589,0.439,1.000,1.000
13.000,901.000,30.063,2.130,8.447,1393.000,632.000,6.430,2.395,-0.278,-0.459
13.000,902.000,30.097,-6.083,4.603,1385.000,629.000,-8.213,-3.845,-0.058,0.084
13.000,903.000,30.130,-6.475,6.142,1384.000,631.000,-0.392,1.540,-0.053,-0.186
13.000,904.000,30.163,-3.827,4.528,1386.000,630.000,2.647,-1.614,0.065,0.011
13.000,905.000,30.197,-7.445,-0.925,1382.000,625.000,-3.617,-5.453,-0.065,0.131
13.000,906.000,30.230,-11.700,0.168,1377.000,626.000,-4.256,1.092,0.043,-0.063
13.000,907.000,30.264,-2.530,6.151,1385.000,632.000,9.170,5.983,0.028,0.065
13.000,908.000,30.297,2.723,2.536,1390.000,629.000,5.253,-3.615,-0.096,-0.122
13.000,909.000,30.330,-1.549,0.282,1386.000,627.000,-4.272,-2.254,0.024,0.106
13.000,910.000,30.364,-3.395,0.254,1384.000,627.000,-1.845,-0.028,0.014,-0.099
13.000,911.000,30.397,-7.055,0.229,1380.000,627.000,-3.661,-0.025,-0.050,-0.036
13.000,912.000,30.430,1.650,4.206,1388.000,631.000,8.706,3.977,-0.044,0.104
13.000,913.000,30.464,-4.515,-2.215,1382.000,625.000,-6.165,-6.421,0.044,-0.073
13.000,914.000,30.497,-6.063,-8.993,1380.000,618.000,-1.549,-6.779,0.022,0.091
13.000,915.000,30.530,-9.457,-2.094,1376.000,624.000,-3.394,6.899,-0.040,-0.087
13.000,916.000,30.564,-4.511,-2.885,1380.000,623.000,4.946,-0.791,0.004,0.041
13.000,917.000,30.597,-6.060,-1.596,1378.000,624.000,-1.549,1.288,-0.012,0.035
13.000,918.000,30.631,-15.454,-5.436,1368.000,620.000,-9.394,-3.840,-0.042,-0.026
13.000,919.000,30.664,-14.909,-6.893,1367.000,618.000,0.545,-1.456,0.032,-0.048
13.000,920.000,30.697,-9.418,2.796,1371.000,627.000,5.491,9.689,0.013,0.084
13.000,921.000,30.731,-5.476,-3.483,1374.000,621.000,3.942,-6.280,-0.043,-0.025
13.000,922.000,30.764,12.072,9.865,1391.000,634.000,17.548,13.348,-0.058,0.015
13.000,923.000,30.797,-6.136,-9.121,1374.000,616.000,-18.207,-18.987,0.098,-0.101
