# BacteriaId,Frame,Time,X,Y,oldX,oldY,dX,dY,autoX,autoY
4.000,0.000,0.000,0.000,0.000,1420.000,555.000,0.000,0.000,1.000,1.000
4.000,1.000,0.033,4.000,6.000,1424.000,561.000,4.000,6.000,-0.054,-0.049
4.000,2.000,0.067,9.600,4.400,1430.000,560.000,5.600,-1.600,-0.074,-0.133
4.000,3.000,0.100,27.640,7.960,1449.000,564.000,18.040,3.560,0.035,-0.039
4.000,4.000,0.133,26.876,11.164,1451.000,568.000,-0.764,3.204,0.066,0.004
4.000,5.000,0.167,30.188,16.048,1457.000,574.000,3.312,4.884,-0.031,0.023
4.000,6.000,0.200,36.170,15.443,1466.000,575.000,5.981,-0.605,-0.016,0.168
4.000,7.000,0.234,55.553,16.899,1489.000,578.000,19.383,1.456,-0.071,-0.107
4.000,8.000,0.267,59.997,14.209,1499.000,577.000,4.445,-2.690,0.101,-0.134
4.000,9.000,0.300,58.998,21.788,1504.000,586.000,-1.000,7.579,-0.034,-0.082
4.000,10.000,0.334,57.098,20.609,1508.000,587.000,-1.900,-1.179,-0.071,-0.062
4.000,11.000,0.367,60.388,18.548,1517.000,587.000,3.290,-2.061,-0.107,-0.038
4.000,12.000,0.400,61.349,22.693,1524.000,593.000,0.961,4.145,0.060,0.080
4.000,13.000,0.434,66.214,20.424,1535.000,593.000,4.865,-2.269,-0.047,-0.131
4.000,14.000,0.467,63.593,11.382,1539.000,586.000,-2.621,-9.042,0.015,0.004
4.000,15.000,0.500,66.234,17.243,1548.000,593.000,2.641,5.862,-0.042,-0.086
4.000,16.000,0.534,53.610,12.519,1542.000,590.000,-12.623,-4.724,-0.104,-0.033
4.000,17.000,0.567,67.249,13.267,1561.000,592.000,13.639,0.748,0.012,0.036
4.000,18.000,0.601,68.524,18.940,1569.000,599.000,1.275,5.673,-0.044,0.035
4.000,19.000,0.634,69.672,18.046,1577.000,600.000,1.148,-0.894,-0.014,-0.003
4.000,20.000,0.667,70.705,17.242,1585.000,601.000,1.033,-0.805,0.028,0.014
4.000,21.000,0.701,64.634,17.518,1586.000,603.000,-6.070,0.276,0.125,-0.006
4.000,22.000,0.734,59.171,11.766,1587.000,599.000,-5.463,-5.752,-0.023,0.012
4.000,23.000,0.767,59.254,11.589,1593.000,600.000,0.083,-0.177,0.019,0.077
4.000,24.000,0.801,62.328,14.430,1602.000,604.000,3.075,2.841,-0.006,-0.007
4.000,25.000,0.834,70.096,8.987,1616.000,600.000,7.767,-5.443,0.022,0.066
4.000,26.000,0.868,62.086,9.089,1615.000,601.000,-8.010,0.101,0.021,0.029
4.000,27.000,0.901,67.877,16.180,1627.000,609.000,5.791,7.091,0.006,-0.122
4.000,28.000,0.934,62.090,12.562,1628.000,607.000,-5.788,-3.618,-0.046,0.071
4.000,29.000,0.968,53.881,2.306,1626.000,598.000,-8.209,-10.256,0.049,0.075
4.000,30.000,1.001,52.493,5.075,1630.000,601.000,-1.388,2.769,-0.024,-0.018
4.000,31.000,1.034,60.243,12.568,1643.000,609.000,7.751,7.492,0.012,0.001
4.000,32.000,1.068,64.219,14.311,1653.000,612.000,3.976,1.743,-0.023,-0.083
4.000,33.000,1.101,57.797,11.880,1653.000,611.000,-6.422,-2.431,0.037,0.034
4.000,34.000,1.134,56.017,12.692,1657.000,613.000,-1.780,0.812,0.045,0.084
4.000,35.000,1.168,49.416,12.423,1656.000,614.000,-6.602,-0.269,0.019,0.014
4.000,36.000,1.201,47.474,8.180,1659.000,611.000,-1.942,-4.242,-0.072,-0.140
4.000,37.000,1.235,39.727,11.362,1656.000,615.000,-7.747,3.182,-0.001,-0.068
4.000,38.000,1.268,55.754,14.226,1676.000,619.000,16.027,2.864,-0.037,-0.053
4.000,39.000,1.301,61.179,8.803,1687.000,615.000,5.425,-5.423,-0.072,0.001
4.000,40.000,1.335,54.061,9.923,1686.000,617.000,-7.118,1.120,-0.026,0.083
4.000,41.000,1.368,53.655,7.931,1691.000,616.000,-0.406,-1.992,0.002,-0.031
4.000,42.000,1.401,50.289,4.138,1693.000,613.000,-3.365,-3.793,-0.026,-0.021
4.000,43.000,1.435,57.260,17.724,1705.000,627.000,6.971,13.586,0.011,0.022
4.000,44.000,1.468,58.534,15.952,1712.000,627.000,1.274,-1.772,-0.047,-0.028
4.000,45.000,1.502,50.681,15.356,1710.000,628.000,-7.853,-0.595,0.004,0.074
4.000,46.000,1.535,53.613,25.821,1718.000,640.000,2.932,10.464,-0.004,0.076
4.000,47.000,1.568,49.251,21.239,1719.000,638.000,-4.361,-4.582,0.049,-0.074
4.000,48.000,1.602,41.326,5.115,1716.000,624.000,-7.925,-16.124,0.106,-0.031
4.000,49.000,1.635,45.194,9.603,1724.000,629.000,3.867,4.489,0.100,0.019
4.000,50.000,1.668,51.674,16.643,1735.000,637.000,6.481,7.040,-0.032,0.012
4.000,51.000,1.702,50.507,14.979,1739.000,637.000,-1.167,-1.664,-0.009,0.016
4.000,52.000,1.735,53.456,18.481,1747.000,642.000,2.949,3.502,0.025,-0.030
4.000,53.000,1.768,54.111,19.633,1753.000,645.000,0.654,1.152,-0.009,-0.029
4.000,54.000,1.802,52.700,11.669,1757.000,639.000,-1.411,-7.963,0.063,0.034
4.000,55.000,1.835,53.430,18.503,1763.000,647.000,0.730,6.833,0.014,-0.019
4.000,56.000,1.869,50.087,21.652,1765.000,652.000,-3.343,3.150,-0.006,-0.019
4.000,57.000,1.902,51.078,18.487,1771.000,651.000,0.991,-3.165,-0.057,0.050
4.000,58.000,1.935,51.970,19.638,1777.000,654.000,0.892,1.151,0.040,-0.116
4.000,59.000,1.969,55.773,17.675,1786.000,654.000,3.803,-1.964,-0.016,-0.007
4.000,60.000,2.002,53.196,15.907,1789.000,654.000,-2.577,-1.767,-0.004,0.064
4.000,61.000,2.035,54.876,20.316,1796.000,660.000,1.680,4.409,0.029,0.003
4.000,62.000,2.069,54.389,19.285,1801.000,661.000,-0.488,-1.032,-0.072,-0.054
4.000,63.000,2.102,53.950,20.356,1806.000,664.000,-0.439,1.072,-0.040,0.086
4.000,64.000,2.135,57.555,22.321,1815.000,668.000,3.605,1.964,-0.014,-0.020
4.000,65.000,2.169,50.799,22.089,1814.000,670.000,-6.755,-0.232,-0.074,-0.002
4.000,66.000,2.202,49.719,22.880,1818.000,673.000,-1.080,0.791,0.030,0.063
4.000,67.000,2.236,52.747,24.592,1826.000,677.000,3.028,1.712,0.042,-0.039
4.000,68.000,2.269,48.473,24.133,1827.000,679.000,-4.275,-0.459,-0.006,-0.045
4.000,69.000,2.302,46.625,24.719,1830.000,682.000,-1.847,0.587,0.067,0.122
4.000,70.000,2.336,47.963,30.247,1836.000,690.000,1.337,5.528,-0.018,-0.058
4.000,71.000,2.369,50.167,24.223,1843.000,687.000,2.204,-6.025,-0.052,0.034
4.000,72.000,2.402,51.150,25.800,1849.000,691.000,0.983,1.578,0.028,0.011
4.000,73.000,2.436,53.035,26.220,1856.000,694.000,1.885,0.420,0.052,-0.116
4.000,74.000,2.469,52.731,19.598,1861.000,690.000,-0.303,-6.622,-0.036,-0.003
4.000,75.000,2.503,54.458,26.638,1868.000,699.000,1.727,7.040,0.005,0.122
4.000,76.000,2.536,59.012,25.975,1878.000,701.000,4.554,-0.664,-0.092,-0.029
4.000,77.000,2.569,61.111,24.377,1886.000,702.000,2.099,-1.597,-0.001,-0.018
4.000,78.000,2.603,57.000,25.939,1888.000,706.000,-4.111,1.562,-0.041,-0.000
4.000,79.000,2.636,51.300,23.346,1888.000,706.000,-5.700,-2.594,-0.008,0.012
4.000,80.000,2.669,46.170,22.011,1888.000,707.000,-5.130,-1.335,-0.012,-0.053
4.000,81.000,2.703,41.553,27.810,1888.000,715.000,-4.617,5.799,0.002,0.042
4.000,82.000,2.736,37.398,26.029,1888.000,716.000,-4.155,-1.781,-0.005,0.056
4.000,83.000,2.769,33.658,30.426,1888.000,723.000,-3.740,4.397,-0.056,-0.036
4.000,84.000,2.803,30.292,29.383,1888.000,725.000,-3.366,-1.043,-0.094,-0.036
4.000,85.000,2.836,27.263,25.445,1888.000,724.000,-3.029,-3.938,0.084,0.017
4.000,86.000,2.870,24.537,26.901,1888.000,728.000,-2.726,1.455,-0.081,-0.011
4.000,87.000,2.903,21.083,29.210,1887.000,733.000,-3.454,2.310,-0.009,-0.006
4.000,88.000,2.936,-0.025,25.289,1868.000,732.000,-21.108,-3.921,0.002,0.038
4.000,89.000,2.970,-17.023,10.760,1851.000,720.000,-16.997,-14.529,0.055,0.009
4.000,90.000,3.003,-5.320,1.684,1861.000,712.000,11.702,-9.076,0.046,-0.035
4.000,91.000,3.036,-13.788,-3.484,1852.000,707.000,-8.468,-5.168,-0.069,-0.024
4.000,92.000,3.070,0.590,17.864,1865.000,728.000,14.379,21.348,0.044,-0.024
4.000,93.000,3.103,4.531,-0.922,1869.000,711.000,3.941,-18.786,0.027,-0.010
4.000,94.000,3.136,6.078,-10.830,1871.000,701.000,1.547,-9.908,-0.037,0.125
4.000,95.000,3.170,-8.530,-6.747,1857.000,704.000,-14.608,4.083,-0.027,0.012
4.000,96.000,3.203,-10.677,2.928,1854.000,713.000,-2.147,9.675,0.026,-0.046
4.000,97.000,3.237,4.391,17.635,1868.000,728.000,15.068,14.707,-0.025,-0.022
4.000,98.000,3.270,22.952,18.872,1887.000,731.000,18.561,1.236,-0.074,-0.005
4.000,99.000,3.303,20.657,19.984,1887.000,734.000,-2.295,1.113,-0.035,-0.016
4.000,100.000,3.337,19.591,12.986,1888.000,729.000,-1.066,-6.998,0.033,0.085
4.000,101.000,3.370,5.632,13.687,1876.000,731.000,-13.959,0.701,-0.007,-0.039
4.000,102.000,3.403,17.069,9.319,1888.000,728.000,11.437,-4.369,0.002,-0.033
4.000,103.000,3.437,-5.638,8.387,1867.000,728.000,-22.707,-0.932,-0.003,-0.017
4.000,104.000,3.470,-4.074,4.548,1868.000,725.000,1.564,-3.839,0.057,-0.033
4.000,105.000,3.504,-22.667,0.093,1849.000,721.000,-18.593,-4.455,-0.020,0.012
4.000,106.000,3.537,-21.400,20.084,1848.000,741.000,1.267,19.991,-0.004,-0.014
4.000,107.000,3.570,1.740,5.076,1869.000,728.000,23.140,-15.008,0.019,0.037
4.000,108.000,3.604,-19.434,-4.432,1848.000,719.000,-21.174,-9.508,0.028,-0.078
4.000,109.000,3.637,-31.491,14.011,1834.000,737.000,-12.057,18.443,0.017,0.039
4.000,110.000,3.670,-13.342,5.610,1849.000,730.000,18.149,-8.401,0.005,-0.034
4.000,111.000,3.704,-18.007,-18.951,1843.000,706.000,-4.666,-24.561,-0.042,-0.025
4.000,112.000,3.737,-3.207,-9.056,1856.000,714.000,14.801,9.895,-0.013,0.017
4.000,113.000,3.770,1.114,-15.150,1860.000,707.000,4.321,-6.094,0.008,0.022
4.000,114.000,3.804,-17.997,-28.635,1841.000,692.000,-19.111,-13.485,0.067,0.026
4.000,115.000,3.837,-9.198,-36.772,1848.000,681.000,8.800,-8.136,-0.030,-0.024
4.000,116.000,3.871,-3.278,-39.095,1853.000,675.000,5.920,-2.323,0.024,-0.029
4.000,117.000,3.904,-12.950,-48.185,1843.000,662.000,-9.672,-9.091,0.068,0.040
4.000,118.000,3.937,-29.655,-45.367,1825.000,660.000,-16.705,2.819,-0.039,-0.024
4.000,119.000,3.971,-6.690,-54.830,1845.000,646.000,22.966,-9.463,-0.013,0.040
4.000,120.000,4.004,0.979,-37.347,1852.000,658.000,7.669,17.483,-0.003,-0.008
4.000,121.000,4.037,11.881,-31.612,1863.000,660.000,10.902,5.735,0.030,0.043
4.000,122.000,4.071,5.693,-21.451,1858.000,667.000,-6.188,10.161,-0.009,-0.017
4.000,123.000,4.104,18.124,-37.306,1871.000,649.000,12.431,-15.855,-0.015,0.026
4.000,124.000,4.137,31.312,-31.575,1886.000,651.000,13.188,5.731,-0.056,-0.038
4.000,125.000,4.171,28.180,-7.418,1886.000,672.000,-3.131,24.158,0.057,0.044
4.000,126.000,4.204,14.362,12.324,1875.000,691.000,-13.818,19.742,-0.028,-0.028
4.000,127.000,4.238,14.926,21.092,1877.000,701.000,0.564,8.768,-0.007,-0.002
4.000,128.000,4.271,24.434,13.982,1888.000,696.000,9.507,-7.109,0.035,0.020
4.000,129.000,4.304,7.990,5.584,1874.000,689.000,-16.443,-8.398,-0.082,-0.042
4.000,130.000,4.338,2.191,28.026,1869.000,712.000,-5.799,22.442,-0.069,-0.004
4.000,131.000,4.371,19.972,32.223,1887.000,719.000,17.781,4.197,0.020,0.031
4.000,132.000,4.404,17.975,39.001,1887.000,729.000,-1.997,6.778,-0.050,-0.033
4.000,133.000,4.438,8.177,13.101,1879.000,707.000,-9.797,-25.900,-0.041,0.002
4.000,134.000,4.471,7.360,-4.209,1879.000,691.000,-0.818,-17.310,0.035,-0.057
4.000,135.000,4.505,-1.376,-22.788,1871.000,672.000,-8.736,-18.579,-0.018,0.062
4.000,136.000,4.538,-24.239,-19.510,1848.000,673.000,-22.862,3.279,0.036,0.009
4.000,137.000,4.571,-43.815,-10.559,1826.000,680.000,-19.576,8.951,-0.003,-0.029
4.000,138.000,4.605,-53.433,-2.503,1812.000,687.000,-9.619,8.056,0.015,0.014
4.000,139.000,4.638,-49.090,-3.252,1811.000,686.000,4.343,-0.750,0.020,0.010
4.000,140.000,4.671,-42.181,-5.927,1813.000,683.000,6.909,-2.675,0.028,0.036
4.000,141.000,4.705,-31.963,-8.334,1819.000,680.000,10.218,-2.407,-0.019,-0.039
4.000,142.000,4.738,-28.767,-8.501,1819.000,679.000,3.196,-0.167,0.041,0.014
4.000,143.000,4.771,-25.890,-8.651,1819.000,678.000,2.877,-0.150,-0.019,-0.015
4.000,144.000,4.805,-19.301,-4.786,1823.000,681.000,6.589,3.865,0.015,0.028
4.000,145.000,4.838,-12.371,-1.307,1828.000,684.000,6.930,3.479,-0.029,0.010
4.000,146.000,4.872,-10.134,-3.177,1829.000,682.000,2.237,-1.869,0.034,-0.015
4.000,147.000,4.905,-3.120,-3.859,1835.000,681.000,7.013,-0.682,-0.022,0.020
4.000,148.000,4.938,-0.808,-5.473,1837.000,679.000,2.312,-1.614,0.022,-0.013
4.000,149.000,4.972,0.272,-2.926,1838.000,681.000,1.081,2.547,0.000,-0.026
4.000,150.000,5.005,-0.755,-2.633,1837.000,681.000,-1.027,0.293,0.007,0.026
4.000,151.000,5.038,-0.679,-4.370,1837.000,679.000,0.075,-1.737,0.016,-0.028
4.000,152.000,5.072,1.389,-6.933,1839.000,676.000,2.068,-2.563,0.001,-0.040
4.000,153.000,5.105,0.250,-4.240,1838.000,678.000,-1.139,2.693,-0.017,0.034
4.000,154.000,5.138,0.225,-4.816,1838.000,677.000,-0.025,-0.576,0.031,0.007
4.000,155.000,5.172,1.202,-0.334,1839.000,681.000,0.978,4.482,-0.001,-0.013
4.000,156.000,5.205,-0.918,-2.301,1837.000,679.000,-2.120,-1.967,-0.002,0.027
4.000,157.000,5.239,-0.826,-3.071,1837.000,678.000,0.092,-0.770,0.022,-0.014
4.000,158.000,5.272,2.256,-4.764,1840.000,676.000,3.083,-1.693,-0.013,0.004
4.000,159.000,5.305,1.031,-2.287,1839.000,678.000,-1.226,2.476,0.034,0.009
4.000,160.000,5.339,0.928,-1.058,1839.000,679.000,-0.103,1.229,-0.014,0.008
4.000,161.000,5.372,1.835,-2.953,1840.000,677.000,0.907,-1.894,-0.008,-0.014
4.000,162.000,5.405,0.651,-0.657,1839.000,679.000,-1.183,2.295,-0.007,0.001
4.000,163.000,5.439,-1.414,1.408,1837.000,681.000,-2.065,2.066,0.002,0.011
4.000,164.000,5.472,1.728,1.268,1840.000,681.000,3.141,-0.141,-0.017,0.017
4.000,165.000,5.506,1.555,2.141,1840.000,682.000,-0.173,0.873,-0.023,-0.016
4.000,166.000,5.539,1.399,0.927,1840.000,681.000,-0.155,-1.214,-0.013,-0.003
4.000,167.000,5.572,-3.741,-2.166,1835.000,678.000,-5.140,-3.093,0.014,-0.017
4.000,168.000,5.606,-0.366,-0.949,1838.000,679.000,3.374,1.217,0.005,-0.002
4.000,169.000,5.639,0.670,-1.854,1839.000,678.000,1.037,-0.905,-0.008,0.030
4.000,170.000,5.672,-1.397,-1.669,1837.000,678.000,-2.067,0.185,-0.018,0.001
4.000,171.000,5.706,-1.257,-2.502,1837.000,677.000,0.140,-0.833,0.032,-0.031
4.000,172.000,5.739,-2.131,-4.252,1836.000,675.000,-0.874,-1.750,-0.034,0.012
4.000,173.000,5.772,0.082,-1.827,1838.000,677.000,2.213,2.425,0.036,0.004
4.000,174.000,5.806,2.074,-2.644,1840.000,676.000,1.992,-0.817,-0.054,-0.033
4.000,175.000,5.839,-0.134,-1.380,1838.000,677.000,-2.207,1.264,0.032,0.007
4.000,176.000,5.873,-0.120,-1.242,1838.000,677.000,0.013,0.138,0.033,0.015
4.000,177.000,5.906,0.892,-1.117,1839.000,677.000,1.012,0.124,0.001,-0.021
4.000,178.000,5.939,0.802,-3.006,1839.000,675.000,-0.089,-1.888,-0.032,0.016
4.000,179.000,5.973,1.722,-4.705,1840.000,673.000,0.920,-1.699,0.034,-0.006
4.000,180.000,6.006,3.550,-8.235,1842.000,669.000,1.828,-3.529,-0.004,-0.019
4.000,181.000,6.039,-2.805,-1.411,1836.000,675.000,-6.355,6.823,0.044,0.018
4.000,182.000,6.073,2.475,-6.270,1841.000,670.000,5.281,-4.859,-0.057,-0.002
4.000,183.000,6.106,-1.772,-11.643,1837.000,664.000,-4.248,-5.373,0.045,-0.012
