# BacteriaId,Frame,Time,X,Y,oldX,oldY,dX,dY,autoX,autoY
9.000,1500.000,50.050,-2.306,-3.158,170.000,34.000,0.256,-1.871,1.000,1.000
9.000,1501.000,50.083,-2.075,-2.842,170.000,34.000,0.231,0.316,-0.347,-0.446
9.000,1502.000,50.117,-0.868,1.442,171.000,38.000,1.208,4.284,-0.056,0.036
9.000,1503.000,50.150,0.219,-0.702,172.000,36.000,1.087,-2.144,-0.014,-0.084
9.000,1504.000,50.183,-7.803,-2.632,164.000,34.000,-8.022,-1.930,0.008,0.077
9.000,1505.000,50.217,-1.022,-0.369,170.000,36.000,6.780,2.263,-0.077,-0.030
9.000,1506.000,50.250,-2.920,5.668,168.000,42.000,-1.898,6.037,-0.033,-0.040
9.000,1507.000,50.284,-3.628,6.101,167.000,43.000,-0.708,0.433,0.017,0.021
9.000,1508.000,50.317,-2.265,12.491,168.000,50.000,1.363,6.390,-0.005,-0.006
9.000,1509.000,50.350,5.961,19.242,176.000,58.000,8.227,6.751,0.016,0.008
9.000,1510.000,50.384,-0.635,19.318,170.000,60.000,-6.596,0.076,-0.027,-0.072
9.000,1511.000,50.417,5.429,24.386,176.000,67.000,6.063,5.068,0.128,0.123
9.000,1512.000,50.450,-7.114,25.947,164.000,71.000,-12.543,1.561,0.017,-0.027
9.000,1513.000,50.484,-8.403,23.353,162.000,71.000,-1.289,-2.595,-0.173,-0.024
9.000,1514.000,50.517,-15.563,23.017,154.000,73.000,-7.160,-0.335,0.137,-0.063
9.000,1515.000,50.550,-10.006,20.716,158.000,73.000,5.556,-2.302,-0.054,0.111
9.000,1516.000,50.584,-8.006,6.644,159.000,61.000,2.001,-14.072,0.059,-0.057
9.000,1517.000,50.617,-6.205,29.980,160.000,85.000,1.801,23.336,-0.107,0.016
9.000,1518.000,50.651,-9.585,27.982,156.000,86.000,-3.379,-1.998,0.068,-0.023
9.000,1519.000,50.684,-9.626,29.184,155.000,90.000,-0.042,1.202,-0.073,0.047
9.000,1520.000,50.717,-32.664,21.265,131.000,85.000,-23.037,-7.918,0.008,-0.109
9.000,1521.000,50.751,-40.397,18.139,120.000,84.000,-7.734,-3.127,-0.097,0.094
9.000,1522.000,50.784,-34.357,17.325,122.000,85.000,6.040,-0.814,0.149,-0.064
9.000,1523.000,50.817,-32.922,15.592,120.000,85.000,1.436,-1.732,0.042,0.061
9.000,1524.000,50.851,-26.630,15.033,123.000,86.000,6.292,-0.559,-0.083,-0.003
9.000,1525.000,50.884,-29.967,14.530,117.000,87.000,-3.337,-0.503,-0.031,-0.037
9.000,1526.000,50.918,-27.970,13.077,116.000,87.000,1.997,-1.453,0.063,-0.009
