# BacteriaId,Frame,Time,X,Y,oldX,oldY,dX,dY,autoX,autoY
7.000,600.000,20.020,3.389,3.447,930.000,437.000,-1.488,-1.494,1.000,1.000
7.000,601.000,20.053,12.050,7.102,939.000,441.000,8.661,3.655,-0.288,-0.204
7.000,602.000,20.087,2.845,4.392,931.000,439.000,-9.205,-2.710,-0.007,-0.093
7.000,603.000,20.120,5.561,7.953,934.000,443.000,2.715,3.561,0.070,0.020
7.000,604.000,20.153,12.004,13.158,941.000,449.000,6.444,5.205,0.009,-0.031
7.000,605.000,20.187,19.804,18.842,950.000,456.000,7.800,5.684,-0.054,-0.040
7.000,606.000,20.220,15.824,8.958,948.000,448.000,-3.980,-9.884,-0.015,-0.025
7.000,607.000,20.254,19.241,10.062,953.000,450.000,3.418,1.104,0.033,0.059
7.000,608.000,20.287,18.317,4.056,954.000,445.000,-0.924,-6.006,0.002,-0.110
7.000,609.000,20.320,9.485,-1.350,947.000,440.000,-8.832,-5.406,0.050,0.122
7.000,610.000,20.354,9.537,-2.215,948.000,439.000,0.051,-0.865,-0.040,0.027
7.000,611.000,20.387,6.583,3.007,946.000,444.000,-2.954,5.221,-0.077,-0.092
7.000,612.000,20.420,8.925,7.706,949.000,449.000,2.342,4.699,-0.031,0.040
7.000,613.000,20.454,10.032,11.935,951.000,454.000,1.108,4.229,0.059,-0.043
7.000,614.000,20.487,8.029,-0.258,950.000,443.000,-2.003,-12.194,-0.056,-0.006
7.000,615.000,20.520,4.226,-4.232,947.000,439.000,-3.803,-3.974,0.009,-0.076
7.000,616.000,20.554,-2.196,-9.809,941.000,433.000,-6.423,-5.577,0.074,0.029
7.000,617.000,20.587,4.023,5.172,947.000,447.000,6.220,14.981,-0.023,0.008
7.000,618.000,20.621,6.621,8.655,950.000,451.000,2.598,3.483,-0.035,-0.148
7.000,619.000,20.654,9.959,13.789,954.000,457.000,3.338,5.135,0.071,0.055
7.000,620.000,20.687,16.963,13.410,962.000,458.000,7.004,-0.379,-0.098,-0.054
7.000,621.000,20.721,17.267,9.069,964.000,455.000,0.304,-4.341,0.051,0.091
7.000,622.000,20.754,18.540,6.162,967.000,453.000,1.273,-2.907,-0.087,-0.127
7.000,623.000,20.787,14.686,1.546,965.000,449.000,-3.854,-4.616,0.065,0.041
7.000,624.000,20.821,12.217,-0.609,964.000,447.000,-2.469,-2.155,-0.007,0.058
7.000,625.000,20.854,7.996,-8.548,961.000,439.000,-4.222,-7.939,0.008,0.017
7.000,626.000,20.888,8.196,-8.693,962.000,438.000,0.200,-0.145,-0.066,0.052
7.000,627.000,20.921,8.376,-1.824,963.000,444.000,0.180,6.869,0.014,0.027
7.000,628.000,20.954,8.539,4.359,964.000,450.000,0.162,6.182,-0.053,-0.084
7.000,629.000,20.988,6.685,5.923,963.000,452.000,-1.854,1.564,-0.020,-0.010
7.000,630.000,21.021,7.016,7.331,964.000,454.000,0.332,1.408,0.018,0.034
7.000,631.000,21.054,7.315,4.598,965.000,452.000,0.298,-2.733,0.042,0.046
7.000,632.000,21.088,9.583,1.138,968.000,449.000,2.269,-3.460,-0.088,-0.046
7.000,633.000,21.121,3.625,-3.976,963.000,444.000,-5.958,-5.114,0.030,-0.009
7.000,634.000,21.154,-1.738,-5.578,958.000,442.000,-5.362,-1.602,-0.067,0.006
7.000,635.000,21.188,0.436,-3.021,960.000,444.000,2.174,2.558,0.002,-0.012
7.000,636.000,21.221,-0.607,-1.719,959.000,445.000,-1.044,1.302,0.009,0.023
7.000,637.000,21.255,1.453,-0.547,961.000,446.000,2.061,1.172,-0.047,-0.022
7.000,638.000,21.288,3.308,2.508,963.000,449.000,1.855,3.055,-0.009,0.012
7.000,639.000,21.321,4.977,3.257,965.000,450.000,1.669,0.749,0.085,0.030
7.000,640.000,21.355,0.479,-0.069,961.000,447.000,-4.498,-3.326,0.001,-0.076
7.000,641.000,21.388,4.432,4.938,965.000,452.000,3.952,5.007,-0.049,-0.013
7.000,642.000,21.421,-0.012,3.445,961.000,451.000,-4.443,-1.494,0.039,0.016
7.000,643.000,21.455,0.990,1.100,962.000,449.000,1.001,-2.344,-0.046,-0.082
7.000,644.000,21.488,0.891,1.990,962.000,450.000,-0.099,0.890,0.014,0.024
7.000,645.000,21.521,-0.198,-0.209,961.000,448.000,-1.089,-2.199,-0.011,-0.013
7.000,646.000,21.555,-0.179,-3.188,961.000,445.000,0.020,-2.979,0.088,0.047
7.000,647.000,21.588,1.839,-2.869,963.000,445.000,2.018,0.319,-0.072,-0.011
7.000,648.000,21.622,0.655,-3.582,962.000,444.000,-1.184,-0.713,0.025,0.060
7.000,649.000,21.655,0.590,-3.224,962.000,444.000,-0.066,0.358,-0.000,-0.021
7.000,650.000,21.688,-0.469,-3.902,961.000,443.000,-1.059,-0.678,0.002,-0.080
7.000,651.000,21.722,-0.422,-3.512,961.000,443.000,0.047,0.390,-0.071,0.016
7.000,652.000,21.755,-4.380,-6.160,957.000,440.000,-3.958,-2.649,0.059,0.059
