# BacteriaId,Frame,Time,X,Y,oldX,oldY,dX,dY,autoX,autoY
10.000,2100.000,70.070,-1.730,2.542,337.000,96.000,-6.474,-3.616,1.000,1.000
10.000,2101.000,70.103,0.443,1.287,339.000,95.000,2.173,-1.254,-0.128,-0.038
10.000,2102.000,70.137,-0.601,1.159,338.000,95.000,-1.044,-0.129,-0.016,-0.058
10.000,2103.000,70.170,0.459,2.043,339.000,96.000,1.060,0.884,-0.002,0.203
10.000,2104.000,70.203,0.413,-2.162,339.000,92.000,-0.046,-4.204,-0.097,0.023
10.000,2105.000,70.237,3.372,4.055,342.000,98.000,2.959,6.216,-0.044,-0.038
10.000,2106.000,70.270,3.034,3.649,342.000,98.000,-0.337,-0.405,-0.093,0.017
10.000,2107.000,70.304,2.731,3.284,342.000,98.000,-0.303,-0.365,0.033,-0.046
10.000,2108.000,70.337,3.458,1.956,343.000,97.000,0.727,-1.328,-0.016,-0.049
10.000,2109.000,70.370,-0.888,-0.240,339.000,95.000,-4.346,-2.196,0.030,-0.036
10.000,2110.000,70.404,3.201,7.784,343.000,103.000,4.089,8.024,0.069,-0.022
10.000,2111.000,70.437,0.881,5.006,341.000,101.000,-2.320,-2.778,-0.022,-0.003
10.000,2112.000,70.470,3.793,2.505,344.000,99.000,2.912,-2.501,-0.020,-0.062
10.000,2113.000,70.504,0.413,2.255,341.000,99.000,-3.379,-0.251,-0.028,0.008
10.000,2114.000,70.537,3.372,6.029,344.000,103.000,2.959,3.775,-0.004,-0.008
10.000,2115.000,70.570,4.035,5.426,345.000,103.000,0.663,-0.603,-0.146,-0.033
10.000,2116.000,70.604,0.631,0.884,342.000,99.000,-3.403,-4.543,-0.046,-0.015
10.000,2117.000,70.637,0.568,0.795,342.000,99.000,-0.063,-0.088,-0.050,0.014
10.000,2118.000,70.671,-1.489,-1.284,340.000,97.000,-2.057,-2.080,-0.000,0.061
10.000,2119.000,70.704,0.660,0.844,342.000,99.000,2.149,2.128,0.045,-0.003
10.000,2120.000,70.737,1.594,1.760,343.000,100.000,0.934,0.916,-0.049,0.011
10.000,2121.000,70.771,-0.565,-0.416,341.000,98.000,-2.159,-2.176,0.067,-0.035
10.000,2122.000,70.804,1.491,5.625,343.000,104.000,2.057,6.042,-0.005,-0.166
10.000,2123.000,70.837,-1.658,-0.937,340.000,98.000,-3.149,-6.563,0.075,-0.015
10.000,2124.000,70.871,0.508,1.157,342.000,100.000,2.166,2.094,-0.093,0.035
10.000,2125.000,70.904,4.457,3.041,346.000,102.000,3.949,1.884,-0.075,-0.048
10.000,2126.000,70.938,-0.989,0.737,341.000,100.000,-5.446,-2.304,0.113,-0.029
10.000,2127.000,70.971,-1.890,2.663,340.000,102.000,-0.901,1.926,-0.006,0.027
10.000,2128.000,71.004,2.299,2.397,344.000,102.000,4.189,-0.266,0.007,0.062
10.000,2129.000,71.038,1.069,2.157,343.000,102.000,-1.230,-0.240,-0.008,-0.073
10.000,2130.000,71.071,0.962,-2.059,343.000,98.000,-0.107,-4.216,0.101,-0.017
10.000,2131.000,71.104,0.866,-1.853,343.000,98.000,-0.096,0.206,0.021,-0.021
10.000,2132.000,71.138,-0.220,0.333,342.000,100.000,-1.087,2.185,-0.047,-0.056
10.000,2133.000,71.171,-2.198,-3.701,340.000,96.000,-1.978,-4.033,-0.008,-0.110
10.000,2134.000,71.204,2.021,-1.331,344.000,98.000,4.220,2.370,0.016,0.063
10.000,2135.000,71.238,1.819,0.802,344.000,100.000,-0.202,2.133,0.007,-0.056
10.000,2136.000,71.271,4.637,3.722,347.000,103.000,2.818,2.920,0.004,-0.019
10.000,2137.000,71.305,1.174,-0.650,344.000,99.000,-3.464,-4.372,0.054,0.032
10.000,2138.000,71.338,2.056,1.415,345.000,101.000,0.883,2.065,-0.042,0.047
10.000,2139.000,71.371,-3.149,0.273,340.000,100.000,-5.206,-1.141,-0.002,-0.025
10.000,2140.000,71.405,-0.834,2.246,342.000,102.000,2.315,1.973,0.021,-0.142
10.000,2141.000,71.438,2.249,4.022,345.000,104.000,3.083,1.775,-0.080,-0.016
10.000,2142.000,71.471,3.024,3.619,346.000,104.000,0.775,-0.402,-0.069,-0.044
10.000,2143.000,71.505,1.722,1.257,345.000,102.000,-1.302,-2.362,-0.007,-0.001
10.000,2144.000,71.538,1.550,3.132,345.000,104.000,-0.172,1.874,-0.085,-0.009
10.000,2145.000,71.571,1.395,0.819,345.000,102.000,-0.155,-2.313,0.147,0.009
10.000,2146.000,71.605,0.255,-1.263,344.000,100.000,-1.139,-2.082,0.025,-0.095
10.000,2147.000,71.638,-0.770,0.863,343.000,102.000,-1.026,2.126,-0.021,0.084
10.000,2148.000,71.672,3.307,4.777,347.000,106.000,4.077,3.914,0.040,0.022
10.000,2149.000,71.705,2.976,-0.701,347.000,101.000,-0.331,-5.478,-0.005,-0.033
10.000,2150.000,71.738,3.678,0.369,348.000,102.000,0.702,1.070,-0.012,0.052
10.000,2151.000,71.772,-2.689,-3.668,342.000,98.000,-6.368,-4.037,-0.045,-0.019
10.000,2152.000,71.805,0.579,0.699,345.000,102.000,3.269,4.367,-0.021,0.018
10.000,2153.000,71.838,5.522,9.629,350.000,111.000,4.942,8.930,0.063,0.065
10.000,2154.000,71.872,-0.031,3.666,345.000,106.000,-5.552,-5.963,-0.034,-0.010
10.000,2155.000,71.905,-3.028,-3.700,342.000,99.000,-2.997,-7.367,-0.022,0.122
10.000,2156.000,71.939,1.275,2.670,346.000,105.000,4.303,6.370,0.043,-0.026
10.000,2157.000,71.972,2.148,4.403,347.000,107.000,0.872,1.733,0.033,-0.020
10.000,2158.000,72.005,-1.067,-6.038,344.000,97.000,-3.215,-10.440,-0.072,0.010
10.000,2159.000,72.039,0.040,-4.434,345.000,98.000,1.107,1.604,0.074,0.036
10.000,2160.000,72.072,1.036,0.010,346.000,102.000,0.996,4.443,-0.012,-0.024
10.000,2161.000,72.105,-4.068,0.009,341.000,102.000,-5.104,-0.001,-0.056,-0.037
10.000,2162.000,72.139,-2.661,-0.992,342.000,101.000,1.407,-1.001,0.010,0.029
10.000,2163.000,72.172,0.605,3.107,345.000,105.000,3.266,4.099,-0.045,0.080
10.000,2164.000,72.205,0.544,1.796,345.000,104.000,-0.060,-1.311,0.016,0.005
10.000,2165.000,72.239,3.490,4.617,348.000,107.000,2.946,2.820,-0.032,0.001
10.000,2166.000,72.272,3.141,8.155,348.000,111.000,-0.349,3.538,0.053,0.118
10.000,2167.000,72.306,-4.173,0.339,341.000,104.000,-7.314,-7.815,-0.003,-0.081
10.000,2168.000,72.339,4.244,8.306,349.000,112.000,8.417,7.966,-0.022,0.056
10.000,2169.000,72.372,-3.180,1.475,342.000,106.000,-7.424,-6.831,0.050,-0.009
10.000,2170.000,72.406,-0.862,5.327,344.000,110.000,2.318,3.853,-0.048,-0.118
