# BacteriaId,Frame,Time,X,Y,oldX,oldY,dX,dY
3.000,0.000,0.000,0.000,0.000,1167.000,457.000,0.000,0.000
3.000,1.000,0.033,0.000,-2.000,1167.000,455.000,0.000,-2.000
3.000,2.000,0.067,-2.000,-7.800,1165.000,449.000,-2.000,-5.800
3.000,3.000,0.100,-4.800,8.980,1162.000,465.000,-2.800,16.780
3.000,4.000,0.133,-22.320,11.082,1144.000,468.000,-17.520,2.102
3.000,5.000,0.167,-18.088,9.974,1146.000,468.000,4.232,-1.108
3.000,6.000,0.200,-14.279,5.976,1148.000,465.000,3.809,-3.997
3.000,7.000,0.234,-18.851,6.379,1142.000,466.000,-4.572,0.402
3.000,8.000,0.267,-16.966,5.741,1142.000,466.000,1.885,-0.638
3.000,9.000,0.300,-17.270,3.167,1140.000,464.000,-0.303,-2.574
3.000,10.000,0.334,-13.543,4.850,1142.000,466.000,3.727,1.683
3.000,11.000,0.367,-13.188,4.365,1141.000,466.000,0.354,-0.485
3.000,12.000,0.400,-10.869,3.929,1142.000,466.000,2.319,-0.437
3.000,13.000,0.434,-9.783,3.536,1142.000,466.000,1.087,-0.393
3.000,14.000,0.467,-8.804,3.182,1142.000,466.000,0.978,-0.354
3.000,15.000,0.500,-7.924,2.864,1142.000,466.000,0.880,-0.318
3.000,16.000,0.534,-14.131,0.578,1135.000,464.000,-6.208,-2.286
3.000,17.000,0.567,-5.718,2.520,1142.000,466.000,8.413,1.942
3.000,18.000,0.601,-5.146,2.268,1142.000,466.000,0.572,-0.252
3.000,19.000,0.634,-4.632,2.041,1142.000,466.000,0.515,-0.227
3.000,20.000,0.667,-4.169,1.837,1142.000,466.000,0.463,-0.204
3.000,21.000,0.701,-3.752,1.653,1142.000,466.000,0.417,-0.184
3.000,22.000,0.734,-3.377,1.488,1142.000,466.000,0.375,-0.165
3.000,23.000,0.767,-3.039,1.339,1142.000,466.000,0.338,-0.149
3.000,24.000,0.801,-2.735,1.205,1142.000,466.000,0.304,-0.134
3.000,25.000,0.834,-2.462,1.085,1142.000,466.000,0.274,-0.121
3.000,26.000,0.868,-2.215,0.976,1142.000,466.000,0.246,-0.108
3.000,27.000,0.901,-2.994,0.879,1141.000,466.000,-0.778,-0.098
3.000,28.000,0.934,-1.694,0.791,1142.000,466.000,1.299,-0.088
3.000,29.000,0.968,-1.525,0.712,1142.000,466.000,0.169,-0.079
3.000,30.000,1.001,-1.373,0.640,1142.000,466.000,0.153,-0.071
3.000,31.000,1.034,-1.235,0.576,1142.000,466.000,0.137,-0.064
3.000,32.000,1.068,-1.112,0.519,1142.000,466.000,0.124,-0.058
3.000,33.000,1.101,-1.001,0.467,1142.000,466.000,0.111,-0.052
3.000,34.000,1.134,-0.901,0.420,1142.000,466.000,0.100,-0.047
3.000,35.000,1.168,-0.810,0.378,1142.000,466.000,0.090,-0.042
3.000,36.000,1.201,-0.729,0.340,1142.000,466.000,0.081,-0.038
3.000,37.000,1.235,-0.656,0.306,1142.000,466.000,0.073,-0.034
3.000,38.000,1.268,-0.591,0.276,1142.000,466.000,0.066,-0.031
3.000,39.000,1.301,-0.532,0.248,1142.000,466.000,0.059,-0.028
3.000,40.000,1.335,-0.479,0.223,1142.000,466.000,0.053,-0.025
3.000,41.000,1.368,-0.431,0.201,1142.000,466.000,0.048,-0.022
3.000,42.000,1.401,-0.388,0.181,1142.000,466.000,0.043,-0.020
3.000,43.000,1.435,-0.349,0.163,1142.000,466.000,0.039,-0.018
3.000,44.000,1.468,-0.314,0.147,1142.000,466.000,0.035,-0.016
3.000,45.000,1.502,-0.283,0.132,1142.000,466.000,0.031,-0.015
3.000,46.000,1.535,-0.254,0.119,1142.000,466.000,0.028,-0.013
3.000,47.000,1.568,-0.229,0.107,1142.000,466.000,0.025,-0.012
3.000,48.000,1.602,-0.206,0.096,1142.000,466.000,0.023,-0.011
3.000,49.000,1.635,-0.185,0.087,1142.000,466.000,0.021,-0.010
3.000,50.000,1.668,-0.167,0.078,1142.000,466.000,0.019,-0.009
3.000,51.000,1.702,-4.150,2.070,1138.000,468.000,-3.983,1.992
3.000,52.000,1.735,0.265,-0.137,1142.000,466.000,4.415,-2.207
3.000,53.000,1.768,0.238,-0.123,1142.000,466.000,-0.026,0.014
