# BacteriaId,Frame,Time,X,Y,oldX,oldY,dX,dY
12.000,600.000,20.020,-4.033,6.222,1411.000,168.000,12.670,4.864
12.000,601.000,20.053,-5.629,5.600,1409.000,168.000,-1.597,-0.622
12.000,602.000,20.087,1.934,-1.960,1416.000,161.000,7.563,-7.560
12.000,603.000,20.120,-1.260,-1.764,1413.000,161.000,-3.193,0.196
12.000,604.000,20.153,11.866,-5.588,1426.000,157.000,13.126,-3.824
12.000,605.000,20.187,6.680,-0.029,1422.000,162.000,-5.187,5.559
12.000,606.000,20.220,-0.988,-0.026,1415.000,162.000,-7.668,0.003
12.000,607.000,20.254,8.110,-1.024,1424.000,161.000,9.099,-0.997
12.000,608.000,20.287,1.299,-2.921,1418.000,159.000,-6.811,-1.898
12.000,609.000,20.320,8.169,-8.629,1425.000,153.000,6.870,-5.708
12.000,610.000,20.354,3.353,-9.766,1421.000,151.000,-4.817,-1.137
12.000,611.000,20.387,2.017,-4.790,1420.000,155.000,-1.335,4.977
12.000,612.000,20.420,6.816,-10.311,1425.000,149.000,4.798,-5.521
12.000,613.000,20.454,3.134,-11.280,1422.000,147.000,-3.682,-0.969
12.000,614.000,20.487,-0.179,-11.152,1419.000,146.000,-3.313,0.128
12.000,615.000,20.520,-1.161,-9.036,1418.000,147.000,-0.982,2.115
12.000,616.000,20.554,-2.045,-4.133,1417.000,151.000,-0.884,4.904
12.000,617.000,20.587,2.159,-5.720,1421.000,149.000,4.205,-1.587
12.000,618.000,20.621,-2.057,-5.148,1417.000,149.000,-4.216,0.572
12.000,619.000,20.654,1.149,-11.633,1420.000,142.000,3.206,-6.485
12.000,620.000,20.687,8.034,-33.470,1427.000,119.000,6.885,-21.837
12.000,621.000,20.721,0.231,-11.123,1420.000,138.000,-7.803,22.347
12.000,622.000,20.754,-16.792,0.990,1403.000,149.000,-17.023,12.112
12.000,623.000,20.787,0.887,-11.109,1419.000,137.000,17.679,-12.099
12.000,624.000,20.821,-2.202,-17.998,1416.000,129.000,-3.089,-6.889
12.000,625.000,20.854,-0.982,-16.199,1417.000,129.000,1.220,1.800
12.000,626.000,20.888,0.116,-18.579,1418.000,125.000,1.098,-2.380
12.000,627.000,20.921,2.105,-14.721,1420.000,127.000,1.988,3.858
12.000,628.000,20.954,3.894,-13.249,1422.000,127.000,1.790,1.472
12.000,629.000,20.988,1.505,-19.924,1420.000,119.000,-2.389,-6.675
12.000,630.000,21.021,24.354,-9.931,1443.000,127.000,22.850,9.992
12.000,631.000,21.054,-0.081,-19.938,1421.000,116.000,-24.435,-10.007
12.000,632.000,21.088,-5.073,-13.944,1416.000,120.000,-4.992,5.994
12.000,633.000,21.121,0.434,-26.550,1421.000,106.000,5.507,-12.606
12.000,634.000,21.154,-1.609,-13.895,1419.000,116.000,-2.043,12.655
12.000,635.000,21.188,-4.448,0.494,1416.000,129.000,-2.839,14.390
12.000,636.000,21.221,13.997,17.445,1434.000,146.000,18.445,16.951
12.000,637.000,21.255,15.597,29.701,1437.000,160.000,1.600,12.255
12.000,638.000,21.288,19.037,10.730,1442.000,144.000,3.440,-18.970
12.000,639.000,21.321,17.134,7.657,1442.000,142.000,-1.904,-3.073
12.000,640.000,21.355,11.420,23.892,1438.000,159.000,-5.713,16.234
12.000,641.000,21.388,15.278,4.503,1443.000,142.000,3.858,-19.389
12.000,642.000,21.421,11.750,4.052,1441.000,142.000,-3.528,-0.450
12.000,643.000,21.455,5.575,3.647,1436.000,142.000,-6.175,-0.405
12.000,644.000,21.488,4.018,-1.718,1435.000,137.000,-1.558,-5.365
12.000,645.000,21.521,2.616,-1.546,1434.000,137.000,-1.402,0.172
12.000,646.000,21.555,1.354,-1.391,1433.000,137.000,-1.262,0.155
12.000,647.000,21.588,2.219,0.748,1434.000,139.000,0.865,2.139
12.000,648.000,21.622,4.997,-6.327,1437.000,132.000,2.778,-7.075
12.000,649.000,21.655,5.497,1.306,1438.000,139.000,0.500,7.633
12.000,650.000,21.688,3.948,-16.825,1437.000,121.000,-1.550,-18.131
12.000,651.000,21.722,21.553,-32.142,1455.000,104.000,17.605,-15.318
12.000,652.000,21.755,31.398,-23.928,1467.000,109.000,9.845,8.214
12.000,653.000,21.788,43.258,-28.535,1482.000,102.000,11.860,-4.607
12.000,654.000,21.822,30.932,-24.682,1474.000,103.000,-12.326,3.854
12.000,655.000,21.855,45.839,-19.214,1492.000,106.000,14.907,5.468
12.000,656.000,21.889,62.255,-13.292,1513.000,110.000,16.416,5.921
12.000,657.000,21.922,63.029,0.037,1520.000,122.000,0.775,13.329
12.000,658.000,21.955,57.727,8.033,1521.000,130.000,-5.303,7.996
12.000,659.000,21.989,47.954,9.230,1517.000,132.000,-9.773,1.197
12.000,660.000,22.022,65.158,2.307,1539.000,126.000,17.205,-6.923
12.000,661.000,22.055,46.643,-5.924,1527.000,118.000,-18.516,-8.231
12.000,662.000,22.089,35.978,12.669,1521.000,136.000,-10.664,18.592
12.000,663.000,22.122,27.381,-5.598,1516.000,119.000,-8.598,-18.267
12.000,664.000,22.155,41.642,6.962,1533.000,131.000,14.262,12.560
12.000,665.000,22.189,31.478,9.265,1527.000,134.000,-10.164,2.304
12.000,666.000,22.222,10.330,6.339,1509.000,132.000,-21.148,-2.927
12.000,667.000,22.256,-5.703,17.705,1494.000,144.000,-16.033,11.366
12.000,668.000,22.289,-5.132,19.935,1494.000,148.000,0.570,2.229
12.000,669.000,22.322,-2.619,23.941,1496.000,154.000,2.513,4.007
12.000,670.000,22.356,1.643,27.547,1500.000,160.000,4.262,3.606
12.000,671.000,22.389,15.479,18.792,1514.000,154.000,13.836,-8.755
12.000,672.000,22.422,18.931,-7.087,1519.000,130.000,3.452,-25.879
12.000,673.000,22.456,19.038,-0.378,1521.000,136.000,0.107,6.709
12.000,674.000,22.489,-5.866,7.660,1498.000,144.000,-24.904,8.038
12.000,675.000,22.522,10.720,-1.106,1514.000,136.000,16.587,-8.766
