# BacteriaId,Frame,Time,X,Y,oldX,oldY,dX,dY
17.000,1200.000,40.040,-6.879,20.108,871.000,423.000,26.320,-12.234
17.000,1201.000,40.073,-13.191,15.097,864.000,420.000,-6.312,-5.011
17.000,1202.000,40.107,-10.872,29.587,865.000,436.000,2.319,14.490
17.000,1203.000,40.140,-31.785,27.629,843.000,437.000,-20.913,-1.959
17.000,1204.000,40.173,-47.607,33.866,824.000,446.000,-15.821,6.237
17.000,1205.000,40.207,-26.846,12.479,840.000,428.000,20.761,-21.387
17.000,1206.000,40.240,-27.161,-6.769,837.000,410.000,-0.315,-19.248
17.000,1207.000,40.274,-32.445,-27.092,829.000,389.000,-5.284,-20.323
17.000,1208.000,40.307,-27.201,-26.383,831.000,387.000,5.245,0.709
17.000,1209.000,40.340,-43.481,-23.744,812.000,387.000,-16.280,2.638
17.000,1210.000,40.374,-32.133,-20.370,819.000,388.000,11.348,3.374
17.000,1211.000,40.407,-21.919,-33.333,826.000,373.000,10.213,-12.963
17.000,1212.000,40.440,-4.727,-20.000,841.000,383.000,17.192,13.333
17.000,1213.000,40.474,-23.255,-29.000,822.000,372.000,-18.527,-9.000
17.000,1214.000,40.507,-12.929,-8.100,830.000,390.000,10.325,20.900
17.000,1215.000,40.540,-11.636,-10.290,830.000,387.000,1.293,-2.190
17.000,1216.000,40.574,-8.473,-27.261,832.000,369.000,3.164,-16.971
17.000,1217.000,40.607,-10.625,-2.535,829.000,391.000,-2.153,24.726
17.000,1218.000,40.641,-3.563,-16.281,835.000,377.000,7.063,-13.747
17.000,1219.000,40.674,-9.207,-29.653,829.000,362.000,-5.644,-13.372
17.000,1220.000,40.707,13.714,-27.688,851.000,361.000,22.921,1.965
17.000,1221.000,40.741,6.343,-32.919,845.000,353.000,-7.371,-5.231
17.000,1222.000,40.774,10.708,-9.627,850.000,373.000,4.366,23.292
17.000,1223.000,40.807,-8.362,-24.664,832.000,357.000,-19.071,-15.037
17.000,1224.000,40.841,-23.526,-38.198,816.000,341.000,-15.164,-13.534
17.000,1225.000,40.874,-7.174,-32.378,830.000,343.000,16.353,5.820
17.000,1226.000,40.908,-4.456,-44.140,832.000,328.000,2.717,-11.762
17.000,1227.000,40.941,11.989,-20.726,848.000,347.000,16.446,23.414
17.000,1228.000,40.974,33.790,-23.654,871.000,342.000,21.801,-2.927
17.000,1229.000,41.008,25.411,-18.288,866.000,345.000,-8.379,5.365
17.000,1230.000,41.041,11.870,5.541,855.000,367.000,-13.541,23.829
17.000,1231.000,41.074,0.683,18.986,845.000,381.000,-11.187,13.446
17.000,1232.000,41.108,13.615,29.088,858.000,393.000,12.932,10.101
17.000,1233.000,41.141,-11.747,20.179,834.000,387.000,-25.361,-8.909
17.000,1234.000,41.174,9.428,32.161,854.000,401.000,21.175,11.982
17.000,1235.000,41.208,12.485,44.945,858.000,417.000,3.057,12.784
17.000,1236.000,41.241,-1.763,60.451,845.000,437.000,-14.249,15.505
17.000,1237.000,41.275,-3.587,74.405,843.000,457.000,-1.824,13.955
17.000,1238.000,41.308,-2.228,78.965,844.000,469.000,1.359,4.559
17.000,1239.000,41.341,-18.005,55.068,828.000,453.000,-15.777,-23.896
17.000,1240.000,41.375,-30.205,69.562,814.000,473.000,-12.199,14.493
17.000,1241.000,41.408,-25.184,50.605,816.000,461.000,5.020,-18.956
17.000,1242.000,41.441,-22.666,51.545,816.000,467.000,2.518,0.939
17.000,1243.000,41.475,-25.399,38.390,811.000,459.000,-2.733,-13.154
17.000,1244.000,41.508,-17.859,48.551,816.000,473.000,7.540,10.161
17.000,1245.000,41.541,-25.073,59.696,807.000,489.000,-7.214,11.145
17.000,1246.000,41.575,-11.566,33.727,818.000,469.000,13.507,-25.970
17.000,1247.000,41.608,-13.410,50.354,815.000,489.000,-1.843,16.627
17.000,1248.000,41.642,-21.069,59.319,806.000,503.000,-7.659,8.965
17.000,1249.000,41.675,-11.962,45.387,813.000,495.000,9.107,-13.932
17.000,1250.000,41.708,-14.766,34.848,809.000,489.000,-2.804,-10.539
17.000,1251.000,41.742,-14.289,31.363,808.000,489.000,0.477,-3.485
17.000,1252.000,41.775,-4.860,16.227,816.000,477.000,9.429,-15.136
17.000,1253.000,41.808,-18.374,23.604,802.000,486.000,-13.514,7.377
17.000,1254.000,41.842,-7.537,12.244,811.000,477.000,10.837,-11.360
17.000,1255.000,41.875,-19.783,11.019,798.000,477.000,-12.246,-1.224
17.000,1256.000,41.909,-12.805,11.917,803.000,479.000,6.978,0.898
17.000,1257.000,41.942,-11.524,2.726,803.000,471.000,1.280,-9.192
