# BacteriaId,Frame,Time,X,Y,oldX,oldY,dX,dY
12.000,0.000,0.000,0.000,0.000,1367.000,186.000,0.000,0.000
12.000,1.000,0.033,-8.000,2.000,1359.000,188.000,-8.000,2.000
12.000,2.000,0.067,-7.200,2.800,1359.000,189.000,0.800,0.800
12.000,3.000,0.100,-2.480,-0.480,1363.000,186.000,4.720,-3.280
12.000,4.000,0.133,-1.232,-1.432,1364.000,185.000,1.248,-0.952
12.000,5.000,0.167,-2.109,-0.289,1363.000,186.000,-0.877,1.143
12.000,6.000,0.200,5.102,-7.260,1370.000,179.000,7.211,-6.971
12.000,7.000,0.234,1.592,-9.534,1367.000,176.000,-3.510,-2.274
12.000,8.000,0.267,3.433,-9.581,1369.000,175.000,1.841,-0.047
12.000,9.000,0.300,7.089,-7.622,1373.000,176.000,3.657,1.958
12.000,10.000,0.334,-16.620,-2.860,1350.000,180.000,-23.709,4.762
12.000,11.000,0.367,5.042,-9.574,1370.000,173.000,21.662,-6.714
12.000,12.000,0.400,6.538,-3.617,1372.000,178.000,1.496,5.957
12.000,13.000,0.434,2.884,-4.255,1369.000,177.000,-3.654,-0.638
12.000,14.000,0.467,7.596,-3.830,1374.000,177.000,4.712,0.426
12.000,15.000,0.500,-4.164,-1.447,1363.000,179.000,-11.760,2.383
12.000,16.000,0.534,0.253,-1.302,1367.000,179.000,4.416,0.145
12.000,17.000,0.567,-0.773,-4.172,1366.000,176.000,-1.025,-2.870
12.000,18.000,0.601,9.305,-7.755,1376.000,172.000,10.077,-3.583
12.000,19.000,0.634,-1.626,-3.979,1366.000,175.000,-10.930,3.775
12.000,20.000,0.667,14.537,-15.581,1382.000,163.000,16.163,-11.602
12.000,21.000,0.701,6.083,-3.023,1375.000,174.000,-8.454,12.558
12.000,22.000,0.734,17.475,-15.721,1387.000,161.000,11.392,-12.698
12.000,23.000,0.767,5.727,-4.149,1377.000,171.000,-11.747,11.572
12.000,24.000,0.801,9.155,-2.734,1381.000,172.000,3.427,1.415
12.000,25.000,0.834,14.239,-7.460,1387.000,167.000,5.085,-4.727
12.000,26.000,0.868,5.815,-2.714,1380.000,171.000,-8.424,4.746
12.000,27.000,0.901,16.234,-7.443,1391.000,166.000,10.418,-4.729
12.000,28.000,0.934,-1.390,-3.699,1375.000,169.000,-17.623,3.744
12.000,29.000,0.968,2.749,-1.329,1379.000,171.000,4.139,2.370
12.000,30.000,1.001,7.474,-2.196,1384.000,170.000,4.725,-0.867
12.000,31.000,1.034,1.727,-1.976,1379.000,170.000,-5.747,0.220
12.000,32.000,1.068,6.554,-3.779,1384.000,168.000,4.827,-1.802
12.000,33.000,1.101,6.899,-6.401,1385.000,165.000,0.345,-2.622
12.000,34.000,1.134,-4.791,-2.761,1374.000,168.000,-11.690,3.640
12.000,35.000,1.168,3.688,-7.485,1382.000,163.000,8.479,-4.724
12.000,36.000,1.201,9.319,-2.736,1388.000,167.000,5.631,4.748
12.000,37.000,1.235,3.387,-6.463,1383.000,163.000,-5.932,-3.726
12.000,38.000,1.268,6.049,-3.816,1386.000,165.000,2.661,2.646
12.000,39.000,1.301,2.444,-7.435,1383.000,161.000,-3.605,-3.618
12.000,40.000,1.335,5.199,-7.691,1386.000,160.000,2.756,-0.257
12.000,41.000,1.368,-0.321,-1.922,1381.000,165.000,-5.520,5.769
12.000,42.000,1.401,2.711,-3.730,1384.000,163.000,3.032,-1.808
12.000,43.000,1.435,5.440,-6.357,1387.000,160.000,2.729,-2.627
12.000,44.000,1.468,-0.104,-4.721,1382.000,161.000,-5.544,1.636
12.000,45.000,1.502,3.907,-5.249,1386.000,160.000,4.010,-0.528
12.000,46.000,1.535,13.516,-9.724,1396.000,155.000,9.609,-4.475
12.000,47.000,1.568,-3.836,-4.752,1380.000,159.000,-17.352,4.972
12.000,48.000,1.602,-1.452,-4.277,1382.000,159.000,2.384,0.475
12.000,49.000,1.635,-7.307,1.151,1376.000,164.000,-5.855,5.428
12.000,50.000,1.668,-0.576,-0.964,1382.000,162.000,6.731,-2.115
12.000,51.000,1.702,-0.519,-5.868,1382.000,157.000,0.058,-4.904
12.000,52.000,1.735,1.533,-2.281,1384.000,160.000,2.052,3.587
12.000,53.000,1.768,-2.620,18.947,1380.000,181.000,-4.153,21.228
12.000,54.000,1.802,-8.358,-2.948,1374.000,161.000,-5.738,-21.895
12.000,55.000,1.835,-9.522,-2.653,1372.000,161.000,-1.164,0.295
12.000,56.000,1.869,-4.570,-7.387,1376.000,156.000,4.952,-4.735
12.000,57.000,1.902,-3.113,-7.649,1377.000,155.000,1.457,-0.261
12.000,58.000,1.935,0.198,-5.884,1380.000,156.000,3.311,1.765
12.000,59.000,1.969,7.178,-18.295,1387.000,143.000,6.980,-12.412
12.000,60.000,2.002,-14.539,-4.466,1366.000,155.000,-21.718,13.830
12.000,61.000,2.035,-0.085,-9.019,1379.000,150.000,14.454,-4.553
12.000,62.000,2.069,-16.077,8.883,1363.000,167.000,-15.991,17.902
12.000,63.000,2.102,-8.469,-1.006,1369.000,158.000,7.608,-9.888
12.000,64.000,2.135,-3.622,-5.905,1373.000,153.000,4.847,-4.899
12.000,65.000,2.169,1.740,-6.315,1378.000,152.000,5.362,-0.409
12.000,66.000,2.202,1.566,-11.683,1378.000,146.000,-0.174,-5.369
12.000,67.000,2.236,14.409,-15.515,1391.000,141.000,12.843,-3.832
12.000,68.000,2.269,12.968,-10.963,1391.000,144.000,-1.441,4.551
12.000,69.000,2.302,8.672,-11.867,1388.000,142.000,-4.297,-0.904
12.000,70.000,2.336,-1.196,-1.680,1379.000,151.000,-9.867,10.187
12.000,71.000,2.369,-3.076,-5.512,1377.000,147.000,-1.880,-3.832
12.000,72.000,2.402,-8.768,0.039,1371.000,152.000,-5.692,5.551
12.000,73.000,2.436,8.108,-10.965,1387.000,141.000,16.877,-11.004
12.000,74.000,2.469,4.298,-9.868,1384.000,141.000,-3.811,1.096
12.000,75.000,2.503,-3.132,-3.882,1377.000,146.000,-7.430,5.987
12.000,76.000,2.536,-0.819,-4.493,1379.000,145.000,2.313,-0.612
12.000,77.000,2.569,-6.737,-4.044,1373.000,145.000,-5.918,0.449
12.000,78.000,2.603,-7.063,-0.640,1372.000,148.000,-0.326,3.404
12.000,79.000,2.636,-7.357,0.424,1371.000,149.000,-0.294,1.064
12.000,80.000,2.669,0.379,-6.618,1378.000,142.000,7.736,-7.042
12.000,81.000,2.703,-5.659,-1.956,1372.000,146.000,-6.038,4.662
12.000,82.000,2.736,-7.093,2.239,1370.000,150.000,-1.434,4.196
12.000,83.000,2.769,-4.384,-1.985,1372.000,146.000,2.709,-4.224
12.000,84.000,2.803,5.054,21.214,1381.000,169.000,9.438,23.198
12.000,85.000,2.836,-1.451,-4.908,1375.000,145.000,-6.505,-26.121
12.000,86.000,2.870,-7.306,0.583,1369.000,150.000,-5.855,5.491
12.000,87.000,2.903,-0.575,1.525,1375.000,151.000,6.731,0.942
12.000,88.000,2.936,-5.518,3.372,1370.000,153.000,-4.942,1.848
12.000,89.000,2.970,-2.966,2.035,1372.000,152.000,2.552,-1.337
12.000,90.000,3.003,-5.669,6.832,1369.000,157.000,-2.703,4.796
12.000,91.000,3.036,-4.102,5.148,1370.000,156.000,1.567,-1.683
12.000,92.000,3.070,0.308,6.634,1374.000,158.000,4.410,1.485
12.000,93.000,3.103,12.277,-10.030,1386.000,142.000,11.969,-16.663
12.000,94.000,3.136,-3.951,4.973,1371.000,156.000,-16.228,15.003
12.000,95.000,3.170,-4.556,3.476,1370.000,155.000,-0.605,-1.497
12.000,96.000,3.203,-12.100,17.128,1362.000,169.000,-7.544,13.652
12.000,97.000,3.237,-1.890,1.415,1371.000,155.000,10.210,-15.713
12.000,98.000,3.270,-2.701,-1.726,1370.000,152.000,-0.811,-3.142
12.000,99.000,3.303,-1.431,-1.553,1371.000,152.000,1.270,0.173
12.000,100.000,3.337,-0.288,0.602,1372.000,154.000,1.143,2.155
12.000,101.000,3.370,14.741,18.542,1387.000,172.000,15.029,17.940
12.000,102.000,3.403,-7.733,3.688,1366.000,159.000,-22.474,-14.854
12.000,103.000,3.437,-7.960,3.319,1365.000,159.000,-0.227,-0.369
