# BacteriaId,Frame,Time,X,Y,oldX,oldY,dX,dY
11.000,681.000,22.723,-32.947,30.440,1012.000,149.000,-20.784,-3.382
11.000,682.000,22.756,-23.652,36.396,1018.000,158.000,9.295,5.956
11.000,683.000,22.789,-27.287,14.756,1012.000,140.000,-3.635,-21.640
11.000,684.000,22.823,-33.558,31.281,1003.000,158.000,-6.271,16.524
11.000,685.000,22.856,-20.202,26.153,1013.000,156.000,13.356,-5.128
11.000,686.000,22.890,-4.182,3.537,1027.000,136.000,16.020,-22.615
11.000,687.000,22.923,-16.764,7.184,1014.000,140.000,-12.582,3.646
11.000,688.000,22.956,-17.088,14.465,1012.000,148.000,-0.324,7.282
11.000,689.000,22.990,0.621,25.019,1028.000,160.000,17.709,10.553
11.000,690.000,23.023,22.559,32.517,1050.000,170.000,21.938,7.498
11.000,691.000,23.056,30.303,45.265,1060.000,186.000,7.744,12.748
11.000,692.000,23.090,22.273,46.739,1055.000,192.000,-8.030,1.473
11.000,693.000,23.123,9.046,48.065,1044.000,198.000,-13.227,1.326
11.000,694.000,23.156,31.141,41.258,1067.000,196.000,22.095,-6.806
11.000,695.000,23.190,16.027,43.132,1055.000,202.000,-15.114,1.874
11.000,696.000,23.223,10.424,18.819,1051.000,182.000,-5.603,-24.313
11.000,697.000,23.257,20.382,20.937,1062.000,186.000,9.958,2.118
11.000,698.000,23.290,20.344,29.844,1064.000,197.000,-0.038,8.906
11.000,699.000,23.323,42.309,32.859,1088.000,203.000,21.966,3.016
11.000,700.000,23.357,43.078,28.573,1093.000,202.000,0.769,-4.286
11.000,701.000,23.390,43.770,27.716,1098.000,204.000,0.692,-0.857
11.000,702.000,23.423,57.393,18.944,1116.000,198.000,13.623,-8.772
11.000,703.000,23.457,35.654,29.050,1100.000,210.000,-21.739,10.106
11.000,704.000,23.490,18.089,20.145,1086.000,204.000,-17.565,-8.905
11.000,705.000,23.523,22.280,18.130,1092.000,204.000,4.191,-2.014
11.000,706.000,23.557,26.052,9.317,1098.000,197.000,3.772,-8.813
11.000,707.000,23.590,45.447,1.386,1120.000,190.000,19.395,-7.932
11.000,708.000,23.624,18.902,8.247,1098.000,197.000,-26.545,6.861
11.000,709.000,23.657,10.012,18.422,1091.000,208.000,-8.890,10.175
11.000,710.000,23.690,11.011,-4.420,1093.000,187.000,0.999,-22.842
11.000,711.000,23.724,1.910,16.022,1085.000,207.000,-9.101,20.442
11.000,712.000,23.757,11.719,15.420,1095.000,208.000,9.809,-0.602
11.000,713.000,23.790,17.547,-0.122,1102.000,194.000,5.828,-15.542
11.000,714.000,23.824,31.792,10.890,1118.000,205.000,14.245,11.012
11.000,715.000,23.857,16.613,-10.199,1106.000,185.000,-15.179,-21.089
11.000,716.000,23.891,-2.048,-13.179,1089.000,181.000,-18.661,-2.980
11.000,717.000,23.924,13.156,-1.861,1104.000,191.000,15.205,11.318
11.000,718.000,23.957,12.841,11.325,1105.000,204.000,-0.316,13.186
11.000,719.000,23.991,-5.443,22.193,1088.000,216.000,-18.284,10.867
11.000,720.000,24.024,16.101,6.973,1109.000,203.000,21.544,-15.219
11.000,721.000,24.057,15.491,-9.724,1110.000,187.000,-0.610,-16.697
11.000,722.000,24.091,12.942,-27.752,1109.000,168.000,-2.549,-18.028
11.000,723.000,24.124,15.648,-17.976,1113.000,175.000,2.706,9.775
11.000,724.000,24.157,11.083,-4.179,1110.000,187.000,-4.565,13.798
11.000,725.000,24.191,8.975,-12.761,1109.000,178.000,-2.108,-8.582
11.000,726.000,24.224,9.077,0.515,1110.000,190.000,0.103,13.276
11.000,727.000,24.258,-15.831,-4.536,1086.000,185.000,-24.908,-5.052
11.000,728.000,24.291,1.752,0.917,1102.000,190.000,17.583,5.454
11.000,729.000,24.324,1.577,0.826,1102.000,190.000,-0.175,-0.092
11.000,730.000,24.358,17.420,-6.257,1118.000,183.000,15.842,-7.083
11.000,731.000,24.391,5.678,-1.631,1108.000,187.000,-11.742,4.626
11.000,732.000,24.424,7.110,-4.468,1110.000,184.000,1.432,-2.837
11.000,733.000,24.458,1.399,-0.021,1105.000,188.000,-5.711,4.447
11.000,734.000,24.491,-8.741,-6.019,1095.000,182.000,-10.140,-5.998
11.000,735.000,24.524,5.133,14.583,1108.000,202.000,13.874,20.602
