# BacteriaId,Frame,Time,X,Y,oldX,oldY,dX,dY
17.000,300.000,10.010,-1.324,-2.284,847.000,474.000,2.369,2.476
17.000,301.000,10.043,-3.191,-2.056,845.000,474.000,-1.868,0.228
17.000,302.000,10.077,3.128,0.150,851.000,476.000,6.319,2.206
17.000,303.000,10.110,-2.185,-2.865,846.000,473.000,-5.313,-3.015
17.000,304.000,10.143,-0.967,-2.579,847.000,473.000,1.219,0.287
17.000,305.000,10.177,-0.870,-0.321,847.000,475.000,0.097,2.258
17.000,306.000,10.210,1.217,3.711,849.000,479.000,2.087,4.032
17.000,307.000,10.244,0.095,7.340,848.000,483.000,-1.122,3.629
17.000,308.000,10.277,0.086,0.606,848.000,477.000,-0.010,-6.734
17.000,309.000,10.310,1.077,-1.455,849.000,475.000,0.991,-2.061
17.000,310.000,10.344,3.970,5.691,852.000,482.000,2.892,7.145
17.000,311.000,10.377,1.573,4.122,850.000,481.000,-2.397,-1.569
17.000,312.000,10.410,-0.585,-20.290,848.000,457.000,-2.157,-24.412
17.000,313.000,10.444,-0.526,-3.261,848.000,472.000,0.058,17.029
17.000,314.000,10.477,1.526,6.065,850.000,481.000,2.053,9.326
17.000,315.000,10.510,2.374,3.458,851.000,479.000,0.847,-2.606
17.000,316.000,10.544,-1.864,3.112,847.000,479.000,-4.237,-0.346
17.000,317.000,10.577,-3.677,6.801,845.000,483.000,-1.814,3.689
17.000,318.000,10.611,0.690,4.121,849.000,481.000,4.368,-2.680
17.000,319.000,10.644,-3.379,-5.291,845.000,472.000,-4.069,-9.412
17.000,320.000,10.677,0.959,-1.762,849.000,475.000,4.338,3.529
17.000,321.000,10.711,2.863,11.414,851.000,488.000,1.904,13.176
17.000,322.000,10.744,-1.423,3.273,847.000,481.000,-4.286,-8.141
17.000,323.000,10.777,-2.281,-3.054,846.000,475.000,-0.858,-6.327
17.000,324.000,10.811,-3.053,-4.749,845.000,473.000,-0.772,-1.695
17.000,325.000,10.844,-1.747,-6.274,846.000,471.000,1.305,-1.525
17.000,326.000,10.878,-2.573,-5.647,845.000,471.000,-0.825,0.627
17.000,327.000,10.911,-1.315,-0.082,846.000,476.000,1.257,5.565
17.000,328.000,10.944,-0.184,-0.074,847.000,476.000,1.132,0.008
17.000,329.000,10.978,-1.165,1.934,846.000,478.000,-0.982,2.007
17.000,330.000,11.011,-3.049,-0.260,844.000,476.000,-1.883,-2.193
