# BacteriaId,Frame,Time,X,Y,oldX,oldY,dX,dY
15.000,300.000,10.010,-49.622,-39.414,147.000,179.000,-1.153,-17.843
15.000,301.000,10.043,-38.659,-59.473,153.000,155.000,10.962,-20.059
15.000,302.000,10.077,-31.794,-59.526,156.000,149.000,6.866,-0.053
15.000,303.000,10.110,-49.614,-41.573,135.000,161.000,-17.821,17.953
15.000,304.000,10.143,-65.653,-33.416,114.000,165.000,-16.039,8.157
15.000,305.000,10.177,-81.087,-34.074,92.000,161.000,-15.435,-0.658
15.000,306.000,10.210,-70.979,-14.667,94.000,177.000,10.109,19.407
15.000,307.000,10.244,-66.881,-23.200,91.000,167.000,4.098,-8.533
15.000,308.000,10.277,-53.193,-16.880,98.000,171.000,13.688,6.320
15.000,309.000,10.310,-51.873,2.808,94.000,189.000,1.319,19.688
15.000,310.000,10.344,-43.686,-3.473,97.000,183.000,8.187,-6.281
15.000,311.000,10.377,-45.318,6.874,91.000,193.000,-1.631,10.347
15.000,312.000,10.410,-42.786,4.187,89.000,191.000,2.532,-2.687
15.000,313.000,10.444,-38.507,-8.232,89.000,179.000,4.279,-12.419
15.000,314.000,10.477,-47.656,-27.409,76.000,159.000,-9.149,-19.177
15.000,315.000,10.510,-29.891,-25.668,89.000,158.000,17.766,1.741
15.000,316.000,10.544,-23.902,-40.101,92.000,141.000,5.989,-14.433
15.000,317.000,10.577,-13.512,-50.091,100.000,127.000,10.390,-9.990
15.000,318.000,10.611,-12.160,-55.082,100.000,117.000,1.351,-4.991
15.000,319.000,10.644,-19.944,-51.574,91.000,115.000,-7.784,3.508
15.000,320.000,10.677,-40.950,-38.416,68.000,123.000,-21.006,13.157
15.000,321.000,10.711,-50.855,-30.575,54.000,127.000,-9.905,7.842
15.000,322.000,10.744,-60.769,-33.517,39.000,121.000,-9.915,-2.943
15.000,323.000,10.777,-57.693,-38.165,36.000,113.000,3.077,-4.648
15.000,324.000,10.811,-53.923,-34.349,34.000,113.000,3.769,3.817
15.000,325.000,10.844,-51.531,-47.914,31.000,96.000,2.392,-13.565
15.000,326.000,10.878,-26.378,-29.123,51.000,110.000,25.153,18.791
15.000,327.000,10.911,-31.740,-17.210,43.000,119.000,-5.362,11.912
15.000,328.000,10.944,-33.566,-5.489,38.000,129.000,-1.826,11.721
15.000,329.000,10.978,-34.209,-21.940,34.000,112.000,-0.643,-16.451
15.000,330.000,11.011,-23.788,-17.746,41.000,114.000,10.421,4.194
15.000,331.000,11.044,-25.410,-33.972,37.000,96.000,-1.621,-16.225
15.000,332.000,11.078,-20.869,-9.575,39.000,117.000,4.541,24.397
15.000,333.000,11.111,-23.782,-0.617,34.000,125.000,-2.913,8.957
15.000,334.000,11.144,-11.404,-2.555,44.000,123.000,12.378,-1.938
15.000,335.000,11.178,-12.263,17.700,42.000,143.000,-0.860,20.256
15.000,336.000,11.211,-19.037,22.930,34.000,150.000,-6.774,5.230
15.000,337.000,11.245,-3.133,37.637,48.000,167.000,15.904,14.707
15.000,338.000,11.278,-13.820,12.873,37.000,146.000,-10.687,-24.764
15.000,339.000,11.311,-4.438,14.586,45.000,149.000,9.382,1.713
15.000,340.000,11.345,-6.994,23.127,42.000,159.000,-2.556,8.541
15.000,341.000,11.378,12.705,16.815,61.000,155.000,19.699,-6.313
15.000,342.000,11.411,-12.565,11.133,37.000,151.000,-25.271,-5.681
15.000,343.000,11.445,-4.309,26.020,44.000,167.000,8.257,14.887
15.000,344.000,11.478,12.122,37.418,60.000,181.000,16.431,11.398
15.000,345.000,11.511,8.910,37.676,58.000,185.000,-3.212,0.258
15.000,346.000,11.545,14.019,45.909,64.000,197.000,5.109,8.232
15.000,347.000,11.578,32.617,43.318,84.000,199.000,18.598,-2.591
15.000,348.000,11.612,45.355,28.986,100.000,189.000,12.738,-14.332
15.000,349.000,11.645,64.820,30.087,124.000,193.000,19.464,1.101
15.000,350.000,11.678,61.338,31.079,127.000,197.000,-3.482,0.991
15.000,351.000,11.712,59.204,27.971,131.000,197.000,-2.134,-3.108
15.000,352.000,11.745,49.284,49.174,127.000,221.000,-9.920,21.203
15.000,353.000,11.778,41.355,68.256,124.000,245.000,-7.928,19.083
15.000,354.000,11.812,60.220,53.431,147.000,237.000,18.864,-14.826
