# BacteriaId,Frame,Time,X,Y,oldX,oldY,dX,dY,autoX,autoY
17.000,0.000,0.000,0.000,0.000,747.000,734.000,0.000,0.000,1.000,1.000
17.000,1.000,0.033,-1.000,0.000,746.000,734.000,-1.000,0.000,-0.218,-0.251
17.000,2.000,0.067,-0.900,-3.000,746.000,731.000,0.100,-3.000,0.025,-0.228
17.000,3.000,0.100,1.190,0.300,748.000,734.000,2.090,3.300,0.056,0.025
17.000,4.000,0.133,0.071,0.270,747.000,734.000,-1.119,-0.030,-0.015,0.161
17.000,5.000,0.167,1.064,0.243,748.000,734.000,0.993,-0.027,0.018,-0.104
17.000,6.000,0.200,-0.042,0.219,747.000,734.000,-1.106,-0.024,0.053,-0.029
17.000,7.000,0.234,1.962,0.197,749.000,734.000,2.004,-0.022,-0.074,-0.038
17.000,8.000,0.267,0.766,0.177,748.000,734.000,-1.196,-0.020,-0.080,0.025
17.000,9.000,0.300,-1.311,-2.841,746.000,731.000,-2.077,-3.018,0.065,-0.001
17.000,10.000,0.334,-4.180,-1.557,743.000,732.000,-2.869,1.284,-0.102,0.051
17.000,11.000,0.367,-4.762,-5.401,742.000,728.000,-0.582,-3.844,0.001,-0.087
17.000,12.000,0.400,-3.286,-4.861,743.000,728.000,1.476,0.540,-0.050,0.012
17.000,13.000,0.434,-5.957,-4.375,740.000,728.000,-2.671,0.486,-0.030,0.011
17.000,14.000,0.467,-4.361,-0.937,741.000,731.000,1.596,3.437,-0.032,-0.007
17.000,15.000,0.500,-2.925,2.156,742.000,734.000,1.436,3.094,0.029,0.074
17.000,16.000,0.534,-4.633,0.941,740.000,733.000,-1.707,-1.216,-0.080,-0.072
17.000,17.000,0.567,-3.169,1.847,741.000,734.000,1.463,0.906,-0.012,-0.043
17.000,18.000,0.601,-3.853,1.662,740.000,734.000,-0.683,-0.185,0.022,0.043
17.000,19.000,0.634,-3.467,1.496,740.000,734.000,0.385,-0.166,-0.100,0.040
17.000,20.000,0.667,-0.121,1.346,743.000,734.000,3.347,-0.150,-0.047,-0.015
17.000,21.000,0.701,-1.108,1.212,742.000,734.000,-0.988,-0.135,-0.030,-0.105
17.000,22.000,0.734,-3.998,1.090,739.000,734.000,-2.889,-0.121,-0.075,-0.001
17.000,23.000,0.767,-1.598,-0.019,741.000,733.000,2.400,-1.109,0.018,0.110
17.000,24.000,0.801,-0.438,0.983,742.000,734.000,1.160,1.002,-0.042,-0.040
17.000,25.000,0.834,0.606,0.885,743.000,734.000,1.044,-0.098,0.027,-0.090
17.000,26.000,0.868,1.545,0.796,744.000,734.000,0.939,-0.088,-0.016,0.011
17.000,27.000,0.901,2.391,0.717,745.000,734.000,0.845,-0.080,0.023,-0.019
17.000,28.000,0.934,1.152,0.645,744.000,734.000,-1.239,-0.072,0.088,0.025
17.000,29.000,0.968,1.036,0.581,744.000,734.000,-0.115,-0.065,0.015,0.029
17.000,30.000,1.001,-3.067,0.523,740.000,734.000,-4.104,-0.058,0.006,-0.007
17.000,31.000,1.034,-0.761,0.470,742.000,734.000,2.307,-0.052,0.166,0.024
17.000,32.000,1.068,0.316,0.423,743.000,734.000,1.076,-0.047,-0.007,0.070
17.000,33.000,1.101,-3.716,0.381,739.000,734.000,-4.032,-0.042,0.038,0.050
17.000,34.000,1.134,2.656,0.343,745.000,734.000,6.372,-0.038,0.014,-0.091
17.000,35.000,1.168,2.390,0.309,745.000,734.000,-0.266,-0.034,-0.034,0.005
17.000,36.000,1.201,-1.849,0.278,741.000,734.000,-4.239,-0.031,0.043,0.002
17.000,37.000,1.235,-0.664,0.250,742.000,734.000,1.185,-0.028,-0.036,-0.044
17.000,38.000,1.268,3.402,0.225,746.000,734.000,4.066,-0.025,0.013,0.001
17.000,39.000,1.301,-0.938,-0.798,742.000,733.000,-4.340,-1.022,-0.064,0.012
17.000,40.000,1.335,4.156,-3.718,747.000,730.000,5.094,-2.920,0.106,0.028
17.000,41.000,1.368,5.740,-5.346,749.000,728.000,1.584,-1.628,-0.090,-0.016
17.000,42.000,1.401,2.166,1.189,746.000,734.000,-3.574,6.535,-0.024,-0.073
17.000,43.000,1.435,4.950,-1.930,749.000,731.000,2.783,-3.119,-0.065,0.082
